% Model,OC.mph,,,,,,,,,,,OC.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Apr 26 2018, 21:09",,,,,,,,,,,"Apr 27 2018, 12:04"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (degC)
33,3.63E+08,736.3659576,629.5661523,1006.746874,783.5451373,692.8971071,737.7950995,736.3527394,734.9500339,692.8901828,690.1250994,711.692981
34,3.67E+08,736.7073933,628.6889364,1011.949378,784.4668782,692.7188034,738.153602,736.6940168,735.2745612,692.7124996,689.9163567,711.9061514
35,3.71E+08,737.0488291,627.8117204,1017.151881,785.388619,692.5404997,738.5121045,737.0352943,735.5990885,692.5348164,689.7076141,712.1194228
36,3.75E+08,737.3902649,626.9345044,1022.354385,786.3103599,692.362196,738.870607,737.3765717,735.9236158,692.3571332,689.4988715,712.3327954
37,3.79E+08,737.7317006,626.0572884,1027.556888,787.4311889,692.1838923,739.2291095,737.7178492,736.2481431,692.17945,689.2901288,712.5462692
38,3.83E+08,738.0731364,625.1800724,1032.759392,788.6130604,692.0055887,739.587612,738.0591266,736.5726705,692.0017668,689.0813862,712.7598443
39,3.87E+08,738.3563704,624.431889,1037.597743,789.5429837,691.8923049,739.8838695,738.3422397,736.8430019,691.8888819,688.9445921,712.8542134
40,3.90E+08,738.6150223,623.7382037,1042.28229,790.3664945,691.806483,740.1538372,738.6007865,737.0904431,691.8033651,688.8381862,712.8981885
41,3.92E+08,738.8736742,623.0445185,1046.966837,791.1900052,691.720661,740.4238049,738.8593333,737.3378843,691.7178483,688.7317803,712.9421419
42,3.95E+08,739.1323261,622.3508332,1051.651384,792.0135159,691.6348391,740.6937726,739.1178801,737.5853256,691.6323316,688.6253744,712.9860738
43,3.98E+08,739.390978,621.657148,1056.335932,792.8370266,691.5490172,740.9637403,739.3764269,737.8327668,691.5468148,688.5189684,713.029984
44,4.01E+08,739.6496299,620.9634627,1061.020479,793.6605373,691.4631952,741.2337079,739.6349737,738.0802081,691.4612981,688.4125625,713.0738727
45,4.03E+08,739.9139115,620.3419853,1065.356137,794.3109734,691.4259279,741.5078944,739.8991634,738.3346767,691.4243089,688.3573198,713.0336772
46,4.04E+08,740.1814876,619.7627632,1069.487631,794.8601282,691.4170742,741.7845498,740.1666553,738.5932578,691.4157176,688.3320173,712.9443087
47,4.06E+08,740.4490637,619.183541,1073.619124,795.409283,691.4082204,742.0612051,740.4341472,738.8518388,691.4071262,688.3067148,712.8549692
48,4.07E+08,740.7166398,618.6043188,1077.750617,795.9584379,691.3993667,742.3378604,740.7016391,739.1104198,691.3985349,688.2814122,712.7656587
49,4.09E+08,740.9842158,618.0250966,1081.88211,796.5075927,691.3905129,742.6145157,740.969131,739.3690009,691.3899435,688.2561097,712.6763773
50,4.10E+08,741.2517919,617.4458744,1086.013603,797.0567476,691.3816592,742.891171,741.2366229,739.6275819,691.3813522,688.2308071,712.5871249
51,4.12E+08,741.4108064,616.9486822,1089.412615,797.2957235,691.3665886,743.0559066,741.3955841,739.7809285,691.3663737,688.2050947,712.3882812
52,4.13E+08,741.4840447,616.5163032,1092.232883,797.2896225,691.3466059,743.1322127,741.4687936,739.8511277,691.3463486,688.1790584,712.1028122
53,4.15E+08,741.557283,616.0839241,1095.05315,797.2835214,691.3266233,743.2085188,741.5420031,739.921327,691.3263235,688.1530221,711.8173187
54,4.16E+08,741.6305213,615.6515451,1097.873418,797.2774203,691.3066406,743.284825,741.6152126,739.9915262,691.3062984,688.1269858,711.5318009
55,4.17E+08,741.7037596,615.2191661,1100.693685,797.2713192,691.286658,743.3611311,741.6884221,740.0617255,691.2862733,688.1009496,711.2462587
56,4.18E+08,741.7769979,614.786787,1103.513952,797.2652181,691.2666753,743.4374373,741.7616316,740.1319248,691.2662483,688.0749133,710.9606922
57,4.19E+08,741.8630774,614.4363554,1105.740023,797.027439,691.2855413,743.5257256,741.8476905,740.2158162,691.2851732,688.0897606,710.5948438
58,4.20E+08,741.9627161,614.1724517,1107.338684,796.5450324,691.3454271,743.6266659,741.947317,740.3141653,691.3452253,688.1477769,710.1441975
59,4.21E+08,742.0623547,613.9085479,1108.937345,796.0626258,691.405313,743.7276062,742.0469435,740.4125143,691.4052774,688.2057931,709.6934863
60,4.21E+08,742.1619933,613.6446441,1110.536006,795.5802192,691.4651989,743.8285465,742.1465699,740.5108633,691.4653294,688.2638093,709.2427103
61,4.22E+08,742.2616319,613.3807404,1112.134667,795.0978126,691.5250848,743.9294868,742.2461964,740.6092124,691.5253815,688.3218255,708.7918693
62,4.22E+08,742.3612705,613.1168366,1113.733328,794.615406,691.5849707,744.0304272,742.3458229,740.7075614,691.5854336,688.3798417,708.3409621
63,4.23E+08,742.4609091,612.8529328,1115.331989,794.1329994,691.6448566,744.1313675,742.4454494,740.8059104,691.6454857,688.4378579,707.8899896
64,4.23E+08,742.5605477,612.589029,1116.93065,793.6505928,691.7047425,744.2323078,742.5450759,740.9042595,691.7055377,688.4958741,707.4389521
65,4.24E+08,742.6601863,612.3251253,1118.529311,793.1681862,691.7646283,744.3332481,742.6447024,741.0026085,691.7655898,688.5538903,706.9878498
66,4.24E+08,742.7598249,612.0612215,1120.127972,792.6857796,691.8245142,744.4341884,742.7443288,741.1009575,691.8256419,688.6119065,706.5366825
67,4.25E+08,742.8878956,611.8243429,1121.497582,792.2341519,691.9045046,744.5638355,742.872385,741.2274665,691.9057617,688.6893587,706.0969549
68,4.25E+08,743.0459877,611.6160001,1122.625337,791.8150233,692.0057231,744.7237939,743.0304598,741.3837093,692.0070709,688.7873335,705.6694819
69,4.24E+08,743.2040797,611.4076573,1123.753093,791.3958947,692.1069416,744.8837524,743.1885346,741.5399522,692.1083801,688.8853082,705.242174
70,4.24E+08,743.3621717,611.1993145,1124.880849,790.9767662,692.2081601,745.0437108,743.3466094,741.6961951,692.2096893,688.9832829,704.8150314
71,4.24E+08,743.5202638,610.9909717,1126.008605,790.5576376,692.3093787,745.2036692,743.5046842,741.8524379,692.3109984,689.0812576,704.3880541
72,4.24E+08,743.6783558,610.7826289,1127.13636,790.2181902,692.4105972,745.3636277,743.662759,742.0086808,692.4123076,689.1792323,703.9612422
73,4.24E+08,743.8364478,610.5742861,1128.264116,789.9988244,692.5118157,745.5235861,743.8208338,742.1649236,692.5136168,689.2772071,703.5345957
74,4.24E+08,743.9945399,610.3659433,1129.391872,789.7794587,692.6130342,745.6835445,743.9789086,742.3211665,692.614926,689.3751818,703.1081148
75,4.24E+08,744.1526319,610.1576005,1130.519627,789.560093,692.7142528,745.843503,744.1369834,742.4774094,692.7162352,689.4731565,702.6817995
76,4.24E+08,744.3107239,609.9492577,1131.647383,789.3407272,692.8154713,746.0034614,744.2950582,742.6336522,692.8175444,689.5711312,702.2556498
77,4.24E+08,744.3977998,609.8076955,1132.36654,789.2463006,692.8886816,746.0909938,744.3821298,742.7202758,692.8907385,689.6434024,701.8948732
78,4.24E+08,744.4098901,609.7366466,1132.654259,789.2837964,692.9323182,746.1020521,744.3942295,742.7333888,692.9342459,689.6885334,701.6028248
79,4.25E+08,744.4219805,609.6655977,1132.941979,789.3212922,692.9759548,746.1131104,744.4063293,742.7465017,692.9777534,689.7336644,701.3105521
80,4.25E+08,744.4340708,609.5945488,1133.229699,789.358788,693.0195913,746.1241686,744.418429,742.7596147,693.0212609,689.7787954,701.0180551
81,4.26E+08,744.4461611,609.5234999,1133.517418,789.3962838,693.0632279,746.1352269,744.4305287,742.7727276,693.0647683,689.8239264,700.7253338
82,4.27E+08,744.4582514,609.452451,1133.805138,789.4337796,693.1068645,746.1462852,744.4426284,742.7858406,693.1082758,689.8690574,700.4323882
83,4.27E+08,744.4703417,609.3814021,1134.092857,789.4712755,693.1505011,746.1573435,744.4547281,742.7989535,693.1517833,689.9141885,700.1392183
84,4.28E+08,744.482432,609.3103532,1134.380577,789.5087713,693.1941377,746.1684017,744.4668278,742.8120665,693.1952907,689.9593195,699.8458242
85,4.28E+08,744.4945223,609.2393043,1134.668297,789.5462671,693.2377743,746.17946,744.4789276,742.8251795,693.2387982,690.0044505,699.5522057
86,4.29E+08,744.5066126,609.1682554,1134.956016,789.5837629,693.2814109,746.1905183,744.4910273,742.8382924,693.2823057,690.0495815,699.258363
87,4.29E+08,744.5626533,609.1110737,1135.277053,789.6807766,693.3406172,746.2464562,744.5470688,742.8944348,693.3414772,690.108854,699.0255798
88,4.29E+08,744.6651007,609.0685344,1135.633269,789.8406348,693.4162634,746.3497822,744.6495082,742.9960118,693.4171883,690.1830584,698.8574893
89,4.29E+08,744.7675482,609.0259951,1135.989485,790.000493,693.4919096,746.4531082,744.7519476,743.0975888,693.4928995,690.2572628,698.6894538
90,4.29E+08,744.8699956,608.9834558,1136.345701,790.1603512,693.5675559,746.5564342,744.854387,743.1991657,693.5686106,690.3314673,698.5214735
91,4.29E+08,744.9724431,608.9409164,1136.701917,790.3202094,693.6432021,746.6597602,744.9568264,743.3007427,693.6443217,690.4056717,698.3535482
92,4.29E+08,745.0748905,608.8983771,1137.058133,790.4800676,693.7188483,746.7630862,745.0592658,743.4023197,693.7200329,690.4798761,698.1856782
93,4.30E+08,745.177338,608.8558378,1137.414349,790.6399258,693.7944946,746.8664122,745.1617052,743.5038966,693.795744,690.5540805,698.0178633
94,4.30E+08,745.2797855,608.8132985,1137.770565,790.799784,693.8701408,746.9697382,745.2641446,743.6054736,693.8714551,690.6282849,697.8501036
95,4.30E+08,745.3822329,608.7707591,1138.126781,790.9596422,693.945787,747.0730642,745.366584,743.7070506,693.9471663,690.7024894,697.6823993
96,4.30E+08,745.4846804,608.7282198,1138.482997,791.1195004,694.0214333,747.1763902,745.4690234,743.8086275,694.0228774,690.7766938,697.5147502
97,4.30E+08,745.5812863,608.6943842,1138.80832,791.29552,694.0940899,747.2737826,745.5656221,743.9044543,694.0955552,690.8479192,697.3808537
98,4.30E+08,745.6717242,608.6697388,1139.101025,791.4886045,694.16359,747.3649096,745.6560535,743.9942094,694.16503,690.9159991,697.2826115
99,4.30E+08,745.762162,608.6450933,1139.393729,791.681689,694.23309,747.4560366,745.746485,744.0839644,694.2345049,690.984079,697.1844495
100,4.29E+08,745.8525999,608.6204479,1139.686434,791.8747734,694.30259,747.5471636,745.8369165,744.1737195,694.3039797,691.0521589,697.0863675
