% Model,transient_RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Jan 22 2018, 14:47"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
0,2.3410199005901673E8,726.7369647992704,684.4134313808594,1062.8891417964937,984.6822802232922
0.1,2.4122215848341736E8,726.7607064049512,684.4100989905285,1062.926633965436,984.8452397577533
0.2,2.435164812088002E8,726.7943451238858,684.4074104427867,1062.9677883658305,985.1198730096634
0.30000000000000004,2.445576062559764E8,726.8312172809873,684.4065033172124,1062.9894361121333,985.3343318826913
0.4,2.4524251773855215E8,726.8697777532351,684.4060976782224,1063.0053978035517,985.5210262701904
0.5,2.455907534763529E8,726.9140789313107,684.4066886457358,1063.0388358966607,985.6516701404809
0.6000000000000001,2.4591716815682805E8,726.9587521833639,684.4073442065612,1063.0734066925802,985.7786811932434
0.7000000000000001,2.4624358283736733E8,727.0034254353526,684.4079997674072,1063.1079774884997,985.9056922460057
0.8,2.4648251916863072E8,727.0467513504565,684.4109972806222,1063.161889750114,985.9770710885824
0.9,2.4668223391805503E8,727.0894731767613,684.4150448258546,1063.2244739046555,986.0235068075289
1,2.468819486675074E8,727.1321950030857,684.4190923711486,1063.2870580591966,986.0699425264751
1.1,2.4708166341698763E8,727.1749168294183,684.4231399164247,1063.3496422137378,986.1163782454213
1.2000000000000002,2.4728137816640207E8,727.2176386557846,684.4271874616767,1063.4122263682793,986.1628139643675
1.3,2.4748109291584495E8,727.2603604821171,684.4312350069542,1063.4748105228205,986.2092496833137
1.4000000000000001,2.4766724352332267E8,727.3027371492641,684.4361359951108,1063.54269379054,986.2489943978704
1.5,2.4779669525493252E8,727.3436710315927,684.4446044223827,1063.632727649131,986.260770338073
1.6,2.4792614698659015E8,727.3846049139554,684.4530728496991,1063.7227615077222,986.2725462782761
1.7000000000000002,2.4805559871824285E8,727.4255387962975,684.4615412769576,1063.8127953663138,986.2843222184787
1.8,2.4818505044983748E8,727.466472678666,684.4700097042801,1063.902829224905,986.2960981586815
1.9000000000000001,2.4831450218152097E8,727.5074065609888,684.4784781315527,1063.992863083496,986.3078740988841
2,2.4844395391316313E8,727.5483404433407,684.4869465588639,1064.0828969420872,986.3196500390869
2.1,2.485734056448282E8,727.5892743256809,684.495414986157,1064.1729308006784,986.3314259792895
2.2,2.4870285737645555E8,727.6302082080389,684.5038834134647,1064.2629646592695,986.3432019194926
2.3000000000000003,2.4883230910813683E8,727.6711420903671,684.5123518407859,1064.3529985178607,986.3549778596952
2.4000000000000004,2.489617608397824E8,727.7120759727277,684.520820268031,1064.4430323764518,986.366753799898
2.5,2.4909121257145718E8,727.7530098550654,684.5292886953438,1064.5330662350434,986.3785297401006
2.6,2.49220664303092E8,727.7939437374209,684.5377571226114,1064.6231000936345,986.3903056803034
2.7,2.4934032210331905E8,727.8346047366934,684.5467351435692,1064.7168294137477,986.401283804966
2.8000000000000003,2.4942037685451183E8,727.8741622974264,684.5577737734492,1064.8255018183982,986.4090358575976
2.9000000000000004,2.4950043160565606E8,727.9137198581259,684.5688124033272,1064.934174223049,986.4167879102287
3,2.495804863568158E8,727.9532774188366,684.5798510332259,1065.0428466276994,986.4245399628602
3.1,2.49660541107909E8,727.9928349795607,684.5908896630688,1065.1515190323503,986.4322920154915
3.2,2.4974059585911244E8,728.0323925402784,684.6019282929527,1065.2601914370007,986.4400440681228
3.3000000000000003,2.4982065061022264E8,728.0719501009811,684.6129669228349,1065.368863841651,986.4477961207541
3.4000000000000004,2.499007053613881E8,728.1115076616883,684.6240055526705,1065.477536246302,986.4555481733856
3.5,2.4998076011251095E8,728.1510652223919,684.6350441826085,1065.5862086509528,986.4633002260167
3.6,2.5006081486367977E8,728.1906227831107,684.6460828124693,1065.6948810556037,986.471052278648
3.7,2.5014086961481467E8,728.2301803438504,684.6571214423558,1065.803553460254,986.4788043312795
3.8000000000000003,2.50220924365957E8,728.2697379045394,684.6681600722349,1065.9122258649045,986.4865563839106
3.9000000000000004,2.5030097911710778E8,728.3092954652517,684.6791987021078,1066.0208982695553,986.4943084365422
4,2.503810338683153E8,728.3488530259801,684.6902373319947,1066.1295706742058,986.5020604891735
4.1000000000000005,2.5046108861943895E8,728.3884105866928,684.7012759618706,1066.2382430788566,986.5098125418048
4.2,2.5054114337060475E8,728.4279681473864,684.7123145917033,1066.346915483507,986.5175645944361
4.3,2.5062119812174165E8,728.4675257080964,684.7233532216135,1066.4555878881579,986.5253166470676
4.4,2.5070125287289086E8,728.5070832687998,684.734391851487,1066.5642602928087,986.5330686996987
4.5,2.5078130762406453E8,728.5466408295399,684.7454304813691,1066.6729326974591,986.5408207523302
4.6000000000000005,2.5086136237521124E8,728.5861983902422,684.756469111231,1066.78160510211,986.5485728049615
4.7,2.5093572875475687E8,728.6247713765886,684.7681655498293,1066.8917021487705,986.5571727605073
4.800000000000001,2.509870934560628E8,728.6593631072079,684.782521924472,1067.0075599227075,986.5692013229703
4.9,2.5103845815726447E8,728.693954837772,684.796878299093,1067.1234176966445,986.5812298854329
5,2.5108982285848564E8,728.7285465683507,684.8112346737263,1067.239275470582,986.5932584478957
5.1000000000000005,2.511411875597796E8,728.7631382989362,684.825591048331,1067.3551332445186,986.6052870103587
5.2,2.5119255226106307E8,728.797730029496,684.8399474229584,1067.470991018456,986.6173155728212
5.300000000000001,2.5124391696230265E8,728.8323217600783,684.854303797567,1067.586848792393,986.629344135284
5.4,2.5129528166352856E8,728.8669134906597,684.8686601721788,1067.70270656633,986.641372697747
5.5,2.513466463647711E8,728.9015052212326,684.88301654684,1067.8185643402676,986.6534012602095
5.6000000000000005,2.5139801106602967E8,728.9360969518116,684.8973729214505,1067.9344221142046,986.6654298226723
5.7,2.5144937576734242E8,728.9706886824026,684.9117292960817,1068.0502798881416,986.6774583851353
5.800000000000001,2.5150074046854082E8,729.0052804129682,684.9260856707273,1068.166137662079,986.6894869475979
5.9,2.5155210516983947E8,729.0398721435432,684.940442045319,1068.2819954360161,986.7015155100606
6,2.516034698711155E8,729.0744638741035,684.95479841997,1068.3978532099532,986.7135440725236
