% Model,multiscale_OC.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 14 2018, 16:22"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
0,1.0000003349701665E7,732.2228322724418,683.3499123459871,790.8721126677252,707.5019821141836,758.4333879022112,757.8039541571233,757.1918367963448,734.0352411504003,741.4583990429421,740.8289652978535,740.2168479370758,717.0602522911328,724.950409983707,724.3209762386172,723.7088588778394,700.5522632318955,698.33542663461
1,1.0000828058119278E7,732.2243504256254,683.3499144453306,790.8752643737201,707.5019823722962,758.4356115874597,757.8061274365931,757.193961045,734.0355101508982,741.460594596599,740.8311103298738,740.218943825395,717.0604887494673,724.9524953736723,724.3230106832084,723.7108437662272,700.5523728932184,698.3354850955251
2,1.0000912183145298E7,732.22478344475,683.3499235074867,790.8761822073342,707.501984791064,758.4362592318099,757.8067680776936,757.1945948957194,734.0358878788684,741.4611535342514,740.8316621579327,740.2194887597137,717.0607735819173,724.9528920613633,724.3234002389712,723.7112264069697,700.552494698598,698.335583257933
3,1.0000997688907346E7,732.2251628633421,683.3499371470438,790.8770025743937,707.5019893246241,758.4368377435497,757.8073418121397,757.195163979229,734.036280807275,741.4616203738259,740.8321241555433,740.2199460435675,717.0610523044786,724.9532040331559,724.3237074081119,723.7115289006954,700.552620177248,698.3356894846361
4,1.0001071785304507E7,732.2255272626966,683.3499608680485,790.8777947399891,707.5020030990827,758.4373962651351,757.8078959853593,757.1957139206555,734.0366705371273,741.4620553200045,740.8325547311758,740.2203723658703,717.0613175960193,724.9535029304628,724.3240019638082,723.7118192312089,700.5527505686301,698.3358029995927
5,1.0001143029360447E7,732.2258879072394,683.3499871094137,790.8785798552188,707.5020191837662,758.4379497891811,757.8084452682723,757.1962590765623,734.037059467343,741.4624822928342,740.8329774513135,740.2207909477868,717.0615795298036,724.9537985591488,724.3242933661446,723.7121065209192,700.5528821881965,698.3359183366147
6,1.0001214273416407E7,732.2262485517839,683.3500133507791,790.8793649704484,707.5020352684495,758.4385033132295,757.808994551185,757.1968042324694,734.0374483975583,741.4629092656644,740.833400171452,740.2212095297035,717.0618414635906,724.9540941878332,724.3245847684813,723.7123938106296,700.5530138077628,698.3360336736351
7,9995385.811843581,732.1587316865426,682.9322044251733,790.845326585901,707.502604444996,758.3833820590884,757.7542189287875,757.1423647980906,733.9957293780257,741.3937651182193,740.7645962691033,740.1527365759138,717.0058909624099,724.8674631022119,724.2382872129939,723.6264206721917,700.4793157597406,698.2593410882814
8,9985624.213184962,732.0459631481118,682.235838721589,790.7880725348358,707.503542349451,758.291144286156,757.6625600361807,757.0512689701899,733.9259383919942,741.2782402239259,740.6496412850944,740.0383359316523,716.9124655045849,724.7228808737215,724.0942636856216,723.4829405816531,700.3563979333295,698.1314432213438
9,9975862.614526298,731.9331946096798,681.5394730180036,790.7308184837706,707.5044802539062,758.1989065132244,757.5709011435757,756.96017314229,733.8561474059638,741.1627153296333,740.5346863010867,739.9239352873908,716.8190400467615,724.5782986452309,723.9502401582489,723.3394604911169,700.233480106917,698.0035453544058
