% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jan 30 2017, 18:25
% Dimension:          2
% Nodes:              4862
% Expressions:        16
% Description:        power density, Dependent variable Tp4, Dependent variable Flux1, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Tp4 (K)                  Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.49                      0.01                     0                        NaN                      7.136406839083586E-7     2.170034465708545E-5     3.0841540636759906E-4    2.349311288959198E-4     0.00192250053915466      0.012912567530330913     0.018704858276925224     0.005434157082856217     -3.7162458376452735E-8   -7.608350674065208E-8    -2.1305566193932554E-8   -2.0984734587610923E-8   -1.4435198401370937E-9   -7.928389958599259E-11
0.51                      0.01                     0                        NaN                      6.488359271856405E-7     1.958104994784829E-5     2.7774466103426505E-4    2.1305286223550156E-4    0.0018795598721710717    0.012674450791696703     0.018367395046566898     0.005336888406430826     -3.458474866744037E-8    -7.080610576694915E-8    -1.9827742410646345E-8   -1.9529164734304153E-8   -1.3433925808104856E-9   -7.378450889281201E-11
0.53                      0.01                     0                        NaN                      5.840311704629225E-7     1.7461755238611126E-5    2.4707391570093115E-4    1.9117459557508337E-4    0.0018366192051874838    0.012436334053062508     0.018029931816208572     0.005239619730005437     -3.200703895842803E-8    -6.552870479324625E-8    -1.8349918627360153E-8   -1.8073594880997397E-8   -1.2432653214838783E-9   -6.828511819963149E-11
0.55                      0.01                     0                        NaN                      5.192264137402047E-7     1.5342460529373977E-5    2.1640317036759736E-4    1.6929632891466527E-4    0.001793678538203896     0.012198217314428305     0.017692468585850253     0.005142351053580048     -2.9429329249415688E-8   -6.025130381954336E-8    -1.6872094844073957E-8   -1.6618025027690637E-8   -1.1431380621572708E-9   -6.278572750645096E-11
0.5700000000000001        0.01                     0                        NaN                      4.544216570174866E-7     1.3223165820136815E-5    1.8573242503426335E-4    1.4741806225424705E-4    0.001750737871220308     0.011960100575794106     0.017355005355491934     0.005045082377154659     -2.6851619540403323E-8   -5.4973902845840426E-8   -1.5394271060787752E-8   -1.516245517438387E-8    -1.0430108028306629E-9   -5.7286336813270396E-11
0.59                      0.01                     0                        NaN                      4.6993245008086525E-7    1.3658956276462703E-5    1.8833171599113655E-4    1.474428052181997E-4     0.0017129487308587667    0.011686936077429747     0.016958958743503193     0.004929811542281025     -6.494479783768296E-9    -1.3296289265902148E-8   -3.7233427220171943E-9   -3.667274461942935E-9    -2.5226830594121914E-10  -1.385558721179237E-11
0.61                      0.01                     0                        NaN                      4.3167653886122085E-7    1.2457159501053376E-5    1.7142858128036659E-4    1.3497811745218617E-4    0.001665613167364601     0.011389004072794884     0.01653032532390661      0.004805607763569763     -8.578766955138087E-9    -1.756349558056429E-8    -4.9182829987595176E-9   -4.844220633062531E-9    -3.332293084114412E-10   -1.8302290202463264E-11
0.63                      0.01                     0                        NaN                      3.9342062764157646E-7    1.125536272564405E-5     1.5452544656959662E-4    1.2251342968617253E-4    0.0016182776038704348    0.011091072068160021     0.01610169190431001      0.004681403984858499     -1.0663054126507871E-8   -2.1830701895226415E-8   -6.113223275501837E-9    -6.021166804182122E-9    -4.14190310881663E-10    -2.2748993193134142E-11
0.65                      0.01                     0                        NaN                      3.5516471642193164E-7    1.0053565950234712E-5    1.3762231185882656E-4    1.1004874192015888E-4    0.0015709420403762686    0.010793140063525152     0.01567305848471342      0.004557200206147237     -1.2747341297877672E-8   -2.609790820988858E-8    -7.308163552244166E-9    -7.1981129753017234E-9   -4.951513133518855E-10   -2.719569618380506E-11
0.67                      0.01                     0                        NaN                      3.1690880520228714E-7    8.851769174825385E-6     1.2071917714805654E-4    9.758405415414525E-5     0.001523606476882102     0.01049520805889029      0.015244425065116822     0.004432996427435974     -1.4831628469247459E-8   -3.036511452455072E-8    -8.503103828986488E-9    -8.375059146421318E-9    -5.761123158221075E-10   -3.164239917447595E-11
0.01                      0.03                     0                        NaN                      5.517867206642299E-6     2.805597126254696E-4     0.0058928547178513134    0.003694900668085128     0.010287358482004978     0.040571344563766154     0.05973263320101538      0.017692710429212083     -3.273864531236138E-8    -6.702653834336093E-8    -1.876935502319088E-8    -1.8486715159650134E-8   -1.2716834706917443E-9   -6.984595693947332E-11
0.03                      0.03                     0                        NaN                      5.691548968854117E-6     2.832001299624814E-4     0.00587194971514515      0.0036853518881222722    0.010201062851621574     0.04074144515114359      0.059905200885809494     0.01772910942224136      2.331090563837947E-8     4.772492250922077E-8     1.3364348453161093E-8    1.3163100321914957E-8    9.054770930301511E-10    4.973243382259366E-11
0.05                      0.03                     0                        NaN                      5.732931365552596E-6     2.793423537697766E-4     0.005752588340884136     0.0036279478397696187    0.010036670205050401     0.04100925543427581      0.06019485214545538      0.017792911006318194     -2.719855412002298E-8    -5.568418953246564E-8    -1.559317172489814E-8    -1.5358360676620394E-8   -1.0564869551303162E-9   -5.8026501150485074E-11
0.06999999999999999       0.03                     0                        NaN                      5.756029345680295E-6     2.69931008029709E-4      0.00550369758283662      0.0035068780856359       0.009698159455688908     0.04154865644009477      0.06071780277385893      0.01789764363818946      3.378319330967677E-8     6.916506410475237E-8     1.9368203632023606E-8    1.9076545957861613E-8    1.3122573676827909E-9    7.207443810433557E-11
0.09                      0.03                     0                        NaN                      5.7109316298674355E-6    2.565116842359501E-4     0.005181647432878448     0.0033481803938188786    0.009273135819319649     0.04221097569202376      0.06132576621098454      0.018012476112458917     -6.159436638430489E-8    -1.2610348170496292E-7   -3.531259522393859E-8    -3.4780837628484117E-8   -2.3925405853331574E-9   -1.3140792543935582E-10
0.11                      0.03                     0                        NaN                      5.8041001763205256E-6    2.4293612055026884E-4    0.00469132077435786      0.003107125491106335     0.008530365503644468     0.043452698221168075     0.06239616974638         0.01819257825214477      -9.119648030296428E-8    -1.8670853132393417E-7   -5.228374904765748E-8    -5.1496429948094944E-8   -3.542390208270349E-9    -1.9456227878394554E-10
0.13                      0.03                     0                        NaN                      5.9239569101777475E-6    2.349442370407135E-4     0.004280522275085474     0.002886315850131787     0.008028532516724335     0.044294696435372316     0.06328400167750874      0.018367051207691894     1.9302156826075545E-8    3.9517724153480056E-8    1.1066097290382602E-8    1.0899457561728213E-8    7.497632706003259E-10    4.118000612578774E-11
0.15000000000000002       0.03                     0                        NaN                      5.85549872811753E-6      2.2397620411556E-4       0.003935017660377623     0.0026887225222244305    0.00779207671030086      0.04463530463937928      0.06381580380281095      0.01849778818480376      1.260262029187244E-8     2.5801617756647476E-8    7.225193719036079E-9     7.11639255009444E-9      4.895298433905353E-10    2.6886942505782154E-11
0.17                      0.03                     0                        NaN                      5.787040546057312E-6     2.130081711904065E-4     0.003589513045669774     0.002491129194317073     0.007555620903877388     0.04497591284338623      0.06434760592811314      0.018628525161915627     5.903083757669336E-9     1.2085511359814904E-8    3.3842901476895577E-9    3.333327538460667E-9     2.2929641618074493E-10   1.2593878885776588E-11
0.19                      0.03                     0                        NaN                      5.675533184960014E-6     2.0237406132128996E-4    0.0032971112581230808    0.0023165896595788715    0.007413769785573959     0.04514092943514615      0.06468212308053534      0.018722793367516945     -6.978190420520035E-8    -1.4286600539688737E-7   -4.0006583098512187E-8   -3.9404140703782925E-8   -2.7105731860457152E-9   -1.4887555150092195E-10
0.21000000000000002       0.03                     0                        NaN                      5.51908982429114E-6      1.928362770612096E-4     0.003074576145531422     0.0021734592421614606    0.007321575191432337     0.04506494310636936      0.06466123225689736      0.01872261723163227      -4.703695549397115E-8    -9.629977877493976E-8    -2.6966702759170905E-8   -2.6560622466130536E-8   -1.8270798392125619E-9   -1.0035055319638892E-10
0.23                      0.03                     0                        NaN                      5.29570922618572E-6      1.8250422440846024E-4    0.0028715606934945474    0.0020397206511904983    0.007226633099508509     0.04485783598693347      0.06442803084124749      0.018660955062384896     -6.275222132391787E-8    -1.2847398322588924E-7   -3.597640370530987E-8    -3.543465009569507E-8    -2.4375157201964405E-9   -1.338781402415495E-10
