% Model,OC_transient.mph
% Version,COMSOL 5.3.1.180
% Date,"Jan 29 2018, 15:09"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
0,1.0000001931199169E7,698.3283258013907,686.4439348178169,714.2376942295705,707.4901966436017
0.1,1.0000173508765887E7,698.3283321979017,686.4439637534977,714.2376996468389,707.4901968511402
0.2,1.00003450863326E7,698.3283385944126,686.4439926891803,714.2377050641072,707.4901970586789
0.30000000000000004,1.0000388239550015E7,698.3283488111927,686.4440213201849,714.2377134819851,707.4901974273313
0.4,1.0000431392767448E7,698.3283590279716,686.4440499511909,714.237721899863,707.4901977959837
0.5,1.0000454490009844E7,698.328370475579,686.4440783953918,714.2377311399978,707.4901982998317
0.6000000000000001,1.0000464216602275E7,698.3283827437397,686.4441067150556,714.2377409283039,707.4901988938102
0.7000000000000001,1.0000460572544675E7,698.3283958324519,686.4441349101828,714.2377512647811,707.4901995779189
0.8,1.0000443557837078E7,698.3284097417178,686.4441629807735,714.2377621494296,707.4902003521581
0.9,1.0000455785955068E7,698.3284260742234,686.4441902432794,714.237773990564,707.4902019672098
1,1.000046801407307E7,698.3284424067292,686.4442175057857,714.2377858316985,707.4902035822615
1.1,1.0000480242191058E7,698.3284587392354,686.4442447682906,714.2377976728329,707.4902051973132
1.2000000000000002,1.0000492470309073E7,698.3284750717411,686.4442720307961,714.2378095139672,707.4902068123649
1.3,1.0000504698427059E7,698.328491404247,686.4442992933016,714.2378213551017,707.4902084274166
1.4000000000000001,1.0000516926545061E7,698.3285077367531,686.4443265558075,714.2378331962361,707.4902100424684
1.5,1.0000529154663056E7,698.3285240692588,686.4443538183128,714.2378450373706,707.4902116575201
1.6,1.0000541382781059E7,698.3285404017656,686.4443810808193,714.237856878505,707.4902132725717
1.7000000000000002,1.0000549553218462E7,698.3285608778102,686.44440713004,714.2378713673849,707.4902165870902
1.8,1.0000557723655857E7,698.3285813538555,686.4444331792614,714.2378858562648,707.4902199016088
1.9000000000000001,1.0000565894093253E7,698.3286018299012,686.4444592284829,714.2379003451446,707.4902232161272
2,1.0000574064530652E7,698.328622305946,686.4444852777038,714.2379148340245,707.4902265306458
2.1,1.0000582234968033E7,698.3286427819912,686.4445113269255,714.2379293229044,707.4902298451644
2.2,1.0000590405405445E7,698.3286632580377,686.444537376147,714.2379438117844,707.4902331596829
2.3000000000000003,1.0000598575842844E7,698.3286837340819,686.4445634253681,714.2379583006642,707.4902364742014
2.4000000000000004,1.0000606746280236E7,698.3287042101288,686.4445894745896,714.2379727895442,707.49023978872
2.5,1.0000614916717649E7,698.3287246861732,686.4446155238109,714.2379872784239,707.4902431032385
2.6,1.0000623087155035E7,698.3287451622189,686.4446415730314,714.2380017673039,707.490246417757
2.7,1.0000631257592436E7,698.3287656382644,686.4446676222522,714.2380162561838,707.4902497322756
2.8000000000000003,1.0000639428029839E7,698.3287861143097,686.4446936714747,714.2380307450637,707.4902530467941
2.9000000000000004,1.0000647598467223E7,698.3288065903539,686.4447197206958,714.2380452339436,707.4902563613127
3,1.0000655768904625E7,698.3288270664,686.4447457699176,714.2380597228234,707.4902596758312
3.1,1.0000663939342026E7,698.3288475424456,686.4447718191389,714.2380742117033,707.4902629903497
3.2,1.0000672109779414E7,698.3288680184911,686.4447978683592,714.2380887005833,707.4902663048683
3.3000000000000003,1.0000677133859651E7,698.3288921070758,686.4448222640323,714.2381077404737,707.4902731538605
3.4000000000000004,1.000068215793992E7,698.3289161956601,686.4448466597046,714.238126780364,707.4902800028528
