% Model,scaling_cr.mph
% Version,COMSOL 5.3.1.180
% Date,"Aug 7 2018, 11:43"
% Table,Probe Table 3 - 
% Time (s),"Temperature (degC), TL_out_ave","Temperature (degC), TL_in_ave","Temperature (degC), TL_out_max","Temperature (degC), TL_in_max"
62,708.719088567201,600.0000000001231,875.3582026948469,600
63,708.8449696312599,600.0000000001231,875.4891027887364,600
64,708.9708506953241,600.0000000001231,875.6200028826257,600
65,709.0967317593805,600.0000000001231,875.7509029765152,600
66,709.2226128234382,600.0000000001231,875.8818030704045,600
67,709.3484938874998,600.0000000001231,876.0127031642941,600
68,709.4743749515595,600.0000000001231,876.1436032581834,600
69,709.5447148811813,600.0000000001231,876.2122874729345,600
70,709.5894904039171,600.0000000001231,876.2523350372991,600
71,709.6342659266485,600.0000000001231,876.2923826016632,600
72,709.6790414493843,600.0000000001231,876.3324301660278,600
73,709.7238169721198,600.0000000001231,876.3724777303922,600
74,709.7685924948527,600.0000000001231,876.4125252947566,600
75,709.8133680175886,600.0000000001231,876.452572859121,600
76,709.8581435403247,600.0000000001231,876.4926204234854,600
77,709.9029190630567,600.0000000001231,876.53266798785,600
78,709.9476945857907,600.0000000001231,876.5727155522142,600
79,709.9583238500124,600.0000000001231,876.5773217810898,600
80,709.9532363152317,600.0000000001231,876.5656151144846,600
81,709.9481487804535,600.0000000001231,876.5539084478788,600
82,709.943061245672,600.0000000001231,876.5422017812735,600
83,709.9379737108922,600.0000000001231,876.5304951146683,600
84,709.9328861761111,600.0000000001231,876.518788448063,600
85,709.9277986413339,600.0000000001231,876.5070817814573,600
86,709.9227111065522,600.0000000001231,876.495375114852,600
87,709.9176235717746,600.0000000001231,876.4836684482467,600
88,709.9125360369918,600.0000000001231,876.4719617816412,600
89,709.8876473132773,600.0000000001231,876.4352330302219,600
90,709.8536445220147,600.0000000001231,876.3869871435517,600
91,709.8196417307533,600.0000000001231,876.3387412568815,600
92,709.7856389394926,600.0000000001231,876.2904953702113,600
93,709.7516361482285,600.0000000001231,876.2422494835411,600
94,709.7176333569672,600.0000000001231,876.1940035968709,600
95,709.6836305657071,600.0000000001231,876.1457577102009,600
96,709.6496277744475,600.0000000001231,876.0975118235307,600
97,709.6156249831864,600.0000000001231,876.0492659368605,600
98,709.5816221919184,600.0000000001231,876.0010200501903,600
99,709.5596832141223,600.0000000001231,875.9645578421733,600
100,709.5432969539413,600.0000000001231,875.9335194116633,600
