% Model:              ss.mph
% Version:            COMSOL 5.3.1.180
% Date:               Apr 3 2018, 16:32
% Dimension:          2
% Nodes:              1330
% Expressions:        19
% Description:        , , , , , , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Tp22 (K)                 Tp23 (K)                 Tp24 (K)                 Tp3 (K)                  Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.025                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      7.431374206432355E-4     0.007094759843343452     0.030265605754089056     0.01867369587035348      0.06016304268240861      0.28946099899685795      0.40713571881740074      0.11739429620401731      -1.02823393077976E-5     -1.8977019968022493E-5   -5.378127536735929E-6    -5.289770209139629E-6    -3.618964591793818E-7    -2.1233894810745106E-8
0.07500000000000001       0.48                     0                        NaN                      NaN                      NaN                      NaN                      9.83198176605065E-4      0.008953096637452196     0.03598722621986035      0.02172937127295986      0.060738342480827        0.28630659924876595      0.40158502971001         0.11573464807564691      6.041279311666597E-6     1.1156769213166522E-5    3.1614976711281475E-6    3.109958761788616E-6     2.128484518082558E-7     1.2418916821756352E-8
0.125                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0011358534154970153    0.01002902894613585      0.038950178145892814     0.02322968533367121      0.06086865230289813      0.28427545996192605      0.3989039200577107       0.11507318182712856      1.4351694624042136E-5    2.648742442541953E-5     7.5061606509210285E-6    7.383389440708077E-6     5.05300099310772E-7      2.9613841259048628E-8
0.17500000000000002       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.001973556115232034     0.01586008127094867      0.05472400773483579      0.031119901623280023     0.061073701753991017     0.27200509771325687      0.3855471402490246       0.1123518771434295       -1.5654676882932706E-5   -2.8825229270685935E-5   -8.169022870577788E-6    -8.034798570817276E-6    -5.497654214916124E-7    -3.21857321930436E-8
0.225                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.003087166750511119     0.023492461131649066     0.07159103285056255      0.0388825231495098       0.06108160296690856      0.25887791870589233      0.3716687215051291       0.10945160471367113      3.3052601064866173E-4    6.085466377032955E-4     1.7245821678186485E-4    1.6963063074948328E-4    1.1607124053355463E-5    6.792668250957416E-7
0.275                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.005264999336238805     0.03598190562758484      0.09456321779642543      0.048508054509972406     0.061453055795407295     0.2426211734121702       0.35039367299776336      0.10389930346111191      5.342968610074808E-4     9.839279886262305E-4     2.788389773086423E-4     2.7426705075206913E-4    1.8766909102148293E-5    1.0984171721966137E-6
0.32500000000000007       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.010157197058355034     0.058983187394827476     0.12701472014814674      0.059745862396150436     0.0631106093471417       0.22446199750353948      0.3132461597581141       0.09141400846742338      -5.480509459568415E-4    -0.001007755026721425    -2.8559144813567703E-4   -2.809081741454615E-4    -1.9221684961300364E-5   -1.1240751218702665E-6
0.37500000000000006       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.011977905705483195     0.06742455189117119      0.13868343661520371      0.06371998131846847      0.06372416284781629      0.21802204729557872      0.29967406329472407      0.08680248588229406      -0.0011384271763509898   -0.002094397012950418    -5.935389685745833E-4    -5.83806270379085E-4     -3.994780841863389E-5    -2.336799677451186E-6
0.42500000000000004       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.02349867154006816      0.10605450528073537      0.17556008333683013      0.06819287696052878      0.06548916289003495      0.18364177988622488      0.24009670668975713      0.06720165040267545      0.0026421951510353313    0.004871063485775354     0.0013804296014304216    0.0013577990270214892    9.290669870621214E-5     5.440897786107195E-6
0.47500000000000003       0.48                     2042113.9265875835       882.9834779500989        882.8942388360633        880.2184702989074        880.043785603664         0.03625971883914658      0.1488432112958839       0.21640672841257672      0.07314730739264678      0.06744417606754553      0.14556026474521896      0.1741054803680013       0.045490664149834964     0.0068298247784772705    0.012586398747365992     0.003566908056977953     0.003508430104157914     2.4006381253509408E-4    1.4055912329015525E-5
0.525                     0.48                     2042113.9265875828       880.818351050775         880.7291119507839        878.0533438347323        877.8786591669801        0.03625971883914656      0.14884321129588382      0.2164067284125766       0.07314730739264674      0.06744417606754549      0.14556026474521888      0.17410548036800122      0.04549066414983494      0.006829824778477266     0.012586398747365984     0.0035669080569779507    0.003508430104157912     2.4006381253509394E-4    1.4055912329015516E-5
0.5750000000000001        0.48                     1276475.5782875046       877.6945389093066        877.6387577030118        875.966199673029         875.8570085058229        0.049561649756559786     0.19625034537983338      0.24779359455970648      0.06842068253669731      0.06614025267861837      0.09633371860957168      0.10050570019894581      0.023239148732364902     0.01069587518941326      0.019713152029479503     0.00558658624375776      0.0054949978985271205    3.759938925608733E-4     2.201599156914003E-5
0.6250000000000001        0.48                     1553303.9734130162       878.9376215968122        878.8697431746165        876.8344591130598        876.701587763729         0.03027396193252363      0.1268045971174101       0.18709122887936108      0.05977336854641641      0.059497024023345724     0.10964316930550924      0.13049161477457144      0.034151841229113564     0.005964130929218448     0.010992185863915377     0.003115117946210138     0.003064047680147952     2.0965676002274346E-4    1.2276226216593598E-5
