% Model,cr.mph,,,,,,,,,,,cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Apr 27 2018, 12:09",,,,,,,,,,,"Apr 27 2018, 10:35"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.temp1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (degC)
33,3.12E+08,787.2752947,683.8754552,952.2749952,856.8685814,749.7814609,788.5076748,787.2638878,786.0543215,749.7864587,747.4326414,732.2921533
34,3.13E+08,787.373497,684.1265576,953.0344599,857.9802484,749.9582211,788.6033159,787.3621137,786.1550613,749.962578,747.6118965,733.0509754
35,3.13E+08,787.4716993,684.3776599,953.7939246,859.0919154,750.1349813,788.698957,787.4603397,786.2558011,750.1386973,747.7911515,733.8096079
36,3.13E+08,787.6149308,684.5228985,954.5856888,859.8838556,750.2689678,788.8424983,787.6035685,786.3987256,750.2724858,747.9237949,734.4045985
37,3.12E+08,787.7661102,684.6494517,955.3831539,860.6193626,750.3954045,788.9944942,787.7547405,786.5490959,750.3988027,748.0482112,734.970655
38,3.12E+08,787.9172896,684.7760049,956.180619,861.3548697,750.5218413,789.1464901,787.9059125,786.6994662,750.5251196,748.1726274,735.536636
39,3.12E+08,788.068469,684.9025581,956.9780841,862.0903767,750.648278,789.2984859,788.0570845,786.8498366,750.6514365,748.2970437,736.1025414
40,3.12E+08,788.2196484,685.0291113,957.7755492,862.8258838,750.7747147,789.4504818,788.2082566,787.0002069,750.7777534,748.42146,736.6683714
41,3.12E+08,788.3708278,685.1556645,958.5730143,863.5613909,750.9011515,789.6024777,788.3594286,787.1505772,750.9040703,748.5458763,737.2341257
42,3.12E+08,788.5220072,685.2822177,959.3704794,864.2968979,751.0275882,789.7544736,788.5106006,787.3009475,751.0303873,748.6702926,737.7997923
43,3.12E+08,788.6731866,685.4087709,960.1679445,865.032405,751.1540249,789.9064694,788.6617726,787.4513178,751.1567042,748.7947088,738.3653551
44,3.12E+08,788.7522286,685.4862674,960.7409591,865.5378589,751.2243603,789.9858024,788.7408119,787.5300714,751.2268908,748.8639222,738.7649614
45,3.12E+08,788.808079,685.5479927,961.241815,865.9693529,751.2766597,790.0417749,788.7966612,787.585801,751.279032,748.9153883,739.111218
46,3.12E+08,788.8639295,685.609718,961.7426708,866.4008469,751.3289591,790.0977474,788.8525105,787.6415306,751.3311733,748.9668544,739.4574615
47,3.12E+08,788.91978,685.6714433,962.2435267,866.8323409,751.3812585,790.15372,788.9083598,787.6972602,751.3833146,749.0183204,739.8036918
48,3.12E+08,788.9756305,685.7331685,962.7443826,867.2638349,751.4335579,790.2096925,788.9642092,787.7529897,751.4354558,749.0697865,740.1499091
49,3.12E+08,789.0314809,685.7948938,963.2452385,867.6953289,751.4858573,790.265665,789.0200585,787.8087193,751.4875971,749.1212526,740.4961132
50,3.12E+08,789.0873314,685.8566191,963.7460944,868.126823,751.5381567,790.3216375,789.0759078,787.8644489,751.5397383,749.1727187,740.8423042
51,3.12E+08,789.1431819,685.9183444,964.2469502,868.558317,751.5904561,790.3776101,789.1317571,787.9201784,751.5918796,749.2241848,741.188482
52,3.12E+08,789.1990323,685.9800697,964.7478061,868.989811,751.6427555,790.4335826,789.1876064,787.975908,751.6440209,749.2756509,741.5346468
53,3.12E+08,789.2548828,686.041795,965.248662,869.421305,751.6950549,790.4895551,789.2434557,788.0316376,751.6961621,749.327117,741.8807984
54,3.12E+08,789.2872196,686.0885691,965.6300953,869.7585753,751.7267296,790.5219163,789.2757923,788.0639502,751.7277579,749.3584465,742.1478648
55,3.12E+08,789.3119969,686.1305367,965.9731353,870.0655535,751.7517737,790.5466867,789.3005697,788.0887344,751.7527486,749.3833023,742.3895097
56,3.12E+08,789.3367743,686.1725042,966.3161754,870.3725317,751.7768177,790.5714571,789.3253471,788.1135187,751.7777392,749.408158,742.6311559
57,3.13E+08,789.3615517,686.2144717,966.6592155,870.6795099,751.8018618,790.5962275,789.3501245,788.138303,751.8027298,749.4330138,742.8728032
