% Model,RI_cr.mph
% Version,COMSOL 5.3.1.201
% Date,"Feb 15 2018, 22:26"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
0,2.3833129470582977E8,741.327164644959,667.750477318937,1768.34628840491,805.7004213161518,712.9904325840179,742.2586027529297,741.3185543747165,740.4043368072205,712.9904355996125,711.2009594814729
1,3.3967515059407014E8,757.47489597159,667.8234709763299,1807.2103706384241,804.7484004355205,717.076836926799,758.7996662302586,757.4626539322672,756.1623677522649,717.1725897080078,714.893471096141
2,3.469491580795734E8,762.0805756736219,668.2600473751811,1823.4527487321448,804.9043872504529,721.040594161635,763.4269793133896,762.0681232300971,760.7466244773051,721.1216948093976,718.7600419432454
3,3.5058521241091615E8,765.7944100581586,668.9247066684094,1839.664341416512,805.9837484849533,724.2883370430822,767.1564809013965,765.7818099882624,764.4449392847083,724.3593222132647,721.9395243525066
4,3.525128268335149E8,769.2646112613403,669.678207608025,1856.1713452648241,807.1676731609551,727.2697464965795,770.642988354754,769.2518606218154,767.8989848074415,727.3334356140771,724.8621770012498
5,3.5372702890784687E8,772.138983641457,670.5169742427943,1871.9269268174444,808.5383711980268,729.8796153853723,773.5262752607911,772.1261490971814,770.7645265664661,729.936835934356,727.4305332514426
6,3.545381141159094E8,774.6766802568178,671.4039206432959,1887.2579138115707,810.0146063654664,732.2795436017121,776.0687096749053,774.6637994769375,773.297531618549,732.3307631557914,729.7986927230658
7,3.547105302964995E8,776.6748716056242,672.3249715856423,1901.4095289789811,811.7942570042532,734.235645675588,778.0684336823584,776.6619754858622,775.2942056486467,734.2825025206264,731.73537513042
8,3.5454600682695657E8,778.3884386687256,673.2640149027259,1914.938948433754,813.7339791329156,735.9576004543995,779.7818424832552,778.3755435084605,777.0079300144879,736.0009588932504,733.4444251885967
9,3.543814833574156E8,780.1020057318452,674.2030582197413,1928.4683678885258,815.6737012615782,737.6795552332629,781.4952512841711,780.089111531082,778.7216543803221,737.719415265878,735.1534752467777
10,3.5421695988786596E8,781.8155727949403,675.1421015367513,1941.9977873432986,817.6134233902407,739.4015100120816,783.2086600850515,781.8026795536713,780.4353787461097,739.4378716384979,736.8625253049707
11,3.53793670522935E8,783.2095057116927,676.0469334635953,1954.221633501214,819.6809092926027,740.8359654509362,784.6013471003654,783.1966237306532,781.8305463040309,740.8697450497399,738.2896226364562
12,3.5325193656251633E8,784.4571328831763,676.9361058528306,1965.8478811974524,821.8068763501816,742.1388241699794,785.8472305267322,784.4442668772948,783.0799012455269,742.1704411940245,739.5876620926729
13,3.52710202602118E8,785.7047600546376,677.8252782420786,1977.4741288936907,823.9328434077607,743.4416828890537,787.0931139530022,785.6919100239608,784.3292561870231,743.4711373383004,740.8857015488835
14,3.5216846864170825E8,786.9523872261592,678.7144506312748,1989.100376589929,826.0588104653397,744.7445416080906,788.3389973793295,786.9395531706024,785.5786111284991,744.7718334825755,742.1837410050281
15,3.515291726203426E8,787.9399991666004,679.5492953301533,1998.7902143101546,828.1537973880883,745.8013512672615,789.3243849291472,787.9271856041745,786.5684269663997,745.8271253074273,743.2390872362162
16,3.508514372891682E8,788.8251654850445,680.362734998169,2007.7171093227967,830.2365781828779,746.7612179555554,790.207137483355,788.8123741958569,787.45598477592,746.7857281882134,744.198812690486
17,3.501737019579857E8,789.7103318035173,681.1761746661816,2016.6440043354382,832.3193589776671,747.7210846438151,791.0898900375813,789.6975627875346,788.343542585363,747.7443310689315,745.1585381448579
18,3.4949596662683064E8,790.5954981219708,681.9896143341924,2025.5708993480798,834.4021397724567,748.6809513321234,791.9726425917967,790.5827513792364,789.2311003948729,748.7029339497582,746.1182635991153
19,3.4881823129566157E8,791.4806644404158,682.8030540022182,2034.4977943607219,836.4849205672461,749.6408180204112,792.8553951460236,791.4679399709363,790.1186582043302,749.6615368304991,747.0779890534357
20,3.48140495964496E8,792.365830758932,683.6164936702243,2043.4246893733634,838.5677013620356,750.6006847086984,793.7381477002413,792.3531285625969,791.0062160138217,750.62013971126,748.0377145077492
21,3.4776784497163707E8,793.0862800889453,684.371441687828,2050.815530154896,840.5618261089804,751.4017391740252,794.4559773108471,793.0736021264637,791.729260829415,751.4202826675138,748.8403576673733
22,3.4751539676329213E8,793.7418311656435,685.103344080468,2057.6011678086834,842.5210205023203,752.1402218549671,795.1088275221263,793.7291782095753,792.387487765256,752.157992644473,749.5811106319496
23,3.472629485549803E8,794.3973822423574,685.8352464730646,2064.3868054624713,844.4802148956602,752.8787045359323,795.7616777333852,794.3847542926388,793.0457147010521,752.8957026214363,750.3218635964862
24,3.470105003466269E8,795.052933319092,686.5671488656448,2071.1724431162593,846.4394092890003,753.6171872169249,796.4145279446885,795.040330375677,793.7039416368756,753.6334125983814,751.0626165610732
25,3.4675805213829744E8,795.7084843958124,687.2990512582194,2077.958080770047,848.3986036823402,754.355669897887,797.0673781559732,795.6959064587612,794.362168572712,754.3711225753772,751.8033695256146
26,3.465056039299688E8,796.3640354725156,688.0309536509177,2084.7437184238347,850.3577980756799,755.0941525788529,797.7202283672126,796.3514825418425,795.0203955085022,755.1088325523227,752.5441224901398
