% Model,scaling_cr.mph,,,,,,,,,,,scaling_cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Aug 7 2018, 11:36",,,,,,,,,,,"Aug 7 2018, 12:00"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (K)
33,3.11E+08,785.594977,684.1104178,980.4422745,889.9775351,748.2563461,786.8222111,785.583618,784.3791018,748.2626302,745.9222912,1004.594529
34,3.11E+08,785.763902,684.3261399,981.0713365,891.0860065,748.4525868,786.9902536,785.7525513,784.5489011,748.4583938,746.1184198,1005.207066
35,3.11E+08,785.932827,684.5418621,981.7003984,892.1944779,748.6488276,787.1582962,785.9214845,784.7187004,748.6541574,746.3145485,1005.819241
36,3.11E+08,786.1017521,684.7575843,982.3294604,893.3029493,748.8450684,787.3263388,786.0904177,784.8884996,748.849921,746.5106772,1006.431054
37,3.11E+08,786.2706771,684.9733065,982.9585224,894.4114207,749.0413091,787.4943814,786.259351,785.0582989,749.0456845,746.7068058,1007.042505
38,3.11E+08,786.4396021,685.1890287,983.5875844,895.5198921,749.2375499,787.6624239,786.4282842,785.2280982,749.2414481,746.9029345,1007.653594
39,3.11E+08,786.5730688,685.3268256,984.18503,896.3255258,749.3708471,787.795905,786.5617508,785.3615506,749.374471,747.0351655,1008.10823
40,3.11E+08,786.6902148,685.4287552,984.7679232,896.9917697,749.4751728,787.913478,786.6788929,785.4782734,749.4786157,747.1379859,1008.490873
41,3.11E+08,786.8073607,685.5306847,985.3508165,897.6580136,749.5794985,788.0310511,786.796035,785.5949962,749.5827603,747.2408062,1008.873407
42,3.11E+08,786.9245067,685.6326143,985.9337097,898.3242575,749.6838242,788.1486242,786.9131771,785.7117189,749.686905,747.3436266,1009.255833
