% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jul 20 2017, 21:42
% Dimension:          2
% Nodes:              4862
% Expressions:        14
% Description:        power density, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.21000000000000002       0.01                     0                        7.07209486250772E-5      0.0011075635443326508    7.862253574471243E-4     0.0027430014830865466    0.016967902929654683     0.024365198602330308     0.0070566036931363945    -7.918110244490441E-7    -1.6147306423150924E-6   -4.55897902891833E-7     -4.468916393462257E-7    -3.0572661328768764E-8   -1.690107275139566E-9
0.23                      0.01                     0                        6.630058710878724E-5     0.0010215783532356569    7.307010132950352E-4     0.002705636837861832     0.016910870113164476     0.024311879896540885     0.007043496988084342     -2.8198981819931154E-7   -5.750584276229674E-7    -1.6235997188980534E-7   -1.5915247911650026E-7   -1.0887930397009566E-8   -6.019039745589723E-10
0.25                      0.01                     0                        6.188022559249725E-5     9.355931621386623E-4     6.751766691429458E-4     0.0026682721926371174    0.016853837296674272     0.02425856119075146      0.00703039028303229      2.278313880504226E-7     4.64613787069161E-7      1.311779591122234E-7     1.2858668111322617E-7    8.796800534749706E-9     4.862993260216252E-10
0.27                      0.01                     0                        5.745986407620728E-5     8.496079710416681E-4     6.196523249908567E-4     0.0026309075474124028    0.016796804480184068     0.024205242484962045     0.00701728357798024      7.376525943001563E-7     1.5042860017612887E-6    4.247158901142519E-7     4.163258413429524E-7     2.8481531466508957E-8    1.5745026266022223E-9
0.29000000000000004       0.01                     0                        5.179912651795315E-5     7.573327907823055E-4     5.59078659913388E-4      0.00258470548110929      0.016709532372436692     0.024097725475996756     0.0069878430706218795    -6.150390004094855E-7    -1.2542409250672272E-6   -3.541184037473977E-7    -3.4712279284540137E-7   -2.3747306120290066E-8   -1.312794471444224E-9
0.31                      0.01                     0                        4.5612831081441265E-5    6.771488331307193E-4     5.040613799619563E-4     0.0025304660449260797    0.016514906975627786     0.023824990462048994     0.006910048823897998     -2.3110536373207172E-6   -4.712902312513069E-6    -1.3306266242041943E-6   -1.3043403766423604E-6   -8.923220431975187E-8    -4.932907722985162E-9
0.33                      0.01                     0                        4.0941269138175735E-5    6.085652450955073E-4     4.5762593308832115E-4    0.0024846743094947953    0.01633579204105639      0.023583328673876067     0.006841745358570745     -1.991585468682261E-6    -4.061415332614118E-6    -1.146687692529295E-6    -1.1240351012877728E-6   -7.689720494020079E-8    -4.251005894702144E-9
0.35000000000000003       0.01                     0                        3.626970719491022E-5     5.399816570602952E-4     4.111904862146859E-4     0.0024388825740635123    0.016156677106484996     0.02334166688570314      0.006773441893243489     -1.6721173000438049E-6   -3.4099283527151674E-6   -9.627487608543962E-7    -9.437298259331851E-7    -6.456220556064971E-8    -3.569104066419126E-9
0.37                      0.01                     0                        3.1598145251644715E-5    4.7139806902508365E-4    3.6475503934105117E-4    0.002393090838632229     0.01597756217191361      0.02310000509753022      0.0067051384279162365    -1.35264913140535E-6     -2.758441372816219E-6    -7.788098291794976E-7    -7.634245505785983E-7    -5.222720618109868E-8    -2.8872022381361116E-9
0.39                      0.01                     0                        2.6926583308379157E-5    4.0281448098987123E-4    3.183195924674156E-4     0.0023472991032009436    0.01579844723734221      0.022858343309357293     0.006636834962588982     -1.033180962766893E-6    -2.1069543929172664E-6   -5.948708975045979E-7    -5.8311927522401E-7      -3.989220680154757E-8    -2.205300409853092E-9
