% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.21000000000000002       0.01                     0                        6.019880360915592E-5     9.724905793960048E-4     6.916144266350902E-4     0.002413091990410469     0.014943469903168746     0.021451767900821712     0.006212498162016823     -6.851546456919017E-8    -1.4027319607283943E-7   -3.9280522049958644E-8   -3.868901310475025E-8    -2.6613802418546212E-9   -1.4617367769278948E-10
0.23                      0.01                     0                        5.677684761175559E-5     9.052371281416956E-4     6.473082515348217E-4     0.00238156552571894      0.0148747480753105       0.021374318180923446     0.00619200579996166      -7.394798072087258E-8    -1.513953041707021E-7    -4.239503162563881E-8    -4.17566225839498E-8     -2.8723981666479838E-9   -1.5776362851644603E-10
0.25                      0.01                     0                        5.3354891614355275E-5    8.379836768873869E-4     6.03002076434554E-4      0.002350039061027413     0.01480602624745226      0.021296868461025194     0.006171513437906498     -7.938049687255502E-8    -1.6251741226856486E-7   -4.550954120131897E-8    -4.482423206314935E-8    -3.0834160914413476E-9   -1.6935357934010267E-10
0.27                      0.01                     0                        4.993293561695494E-5     7.707302256330776E-4     5.586959013342857E-4     0.002318512596335885     0.014737304419594015     0.021219418741126934     0.006151021075851336     -8.481301302423745E-8    -1.7363952036642758E-7   -4.862405077699915E-8    -4.7891841542348905E-8   -3.2944340162347114E-9   -1.8094353016375928E-10
0.29000000000000004       0.01                     0                        4.6531727871936896E-5    7.039667127310472E-4     5.146419042428212E-4     0.0022871584997949048    0.014668922786702362     0.021141914655730346     0.0061305083507926204    -9.04230103665243E-8     -1.8512498955372365E-7   -5.184031188957431E-8    -5.105967032462575E-8    -3.512345931121339E-9    -1.929121265751685E-10
0.31                      0.01                     0                        4.387168522160871E-5     6.590176985817881E-4     4.823424713684229E-4     0.0022560197655354984    0.014542071180049024     0.020967638304709033     0.006081462499408747     -8.10134892255474E-8     -1.658606729171944E-7    -4.644575016571058E-8    -4.5746343048488704E-8   -3.146847224991713E-9    -1.728374716172987E-10
0.33                      0.01                     0                        4.083179883702989E-5     6.106187419095031E-4     4.4885430722354006E-4    0.00221885521588165      0.014380834127312236     0.020747252832736422     0.00601885146509244      -8.360071343124757E-8    -1.7115755312624682E-7   -4.792902869413045E-8    -4.7207285506204626E-8   -3.247344060641788E-9    -1.7835716092453662E-10
0.35000000000000003       0.01                     0                        3.779191245245108E-5     5.622197852372182E-4     4.1536614307865745E-4    0.002181690666227803     0.01421959707457545      0.02052686736076382      0.0059562404307761324    -8.618793763694775E-8    -1.7645443333529924E-7   -4.9412307222550325E-8   -4.866822796392055E-8    -3.347840896291863E-9    -1.8387685023177458E-10
0.37                      0.01                     0                        3.475202606787225E-5     5.13820828564933E-4      3.818779789337748E-4     0.0021445261165739544    0.01405836002183866      0.020306481888791205     0.005893629396459826     -8.877516184264789E-8    -1.8175131354435162E-7   -5.0895585750970184E-8   -5.0129170421636464E-8   -3.448337731941937E-9    -1.8939653953901248E-10
0.39                      0.01                     0                        3.1712139683293446E-5    4.654218718926483E-4     3.4838981478889223E-4    0.0021073615669201075    0.013897122969101876     0.020086096416818598     0.0058310183621435195    -9.136238604834805E-8    -1.8704819375340408E-7   -5.237886427939006E-8    -5.1590112879352386E-8   -3.5488345675920122E-9   -1.9491622884625044E-10
0.41000000000000003       0.01                     0                        2.8672253298714637E-5    4.1702291522036344E-4    3.149016506440095E-4     0.0020701970172662602    0.013735885916365088     0.01986571094484598      0.005768407327827212     -9.394961025404823E-8    -1.9234507396245648E-7   -5.386214280780993E-8    -5.3051055337068315E-8   -3.649331403242087E-9    -2.004359181534884E-10
0.43                      0.01                     0                        2.6108085326560313E-5    3.7514273749638814E-4    2.8532410941315334E-4    0.0020346187303554772    0.013570219559955621     0.019637883119736226     0.0057034776083217855    -8.73498290612083E-8     -1.788331988387582E-7    -5.0078429856284136E-8   -4.9324319735641945E-8   -3.392972822334409E-9    -1.8635567663442367E-10
0.45                      0.01                     0                        2.5757242131720796E-5    3.6732852817776145E-4    2.768612628780204E-4     0.0020000627374056447    0.013335186066444361     0.01930246045254688      0.005606266282215831     -4.224325678011408E-8    -8.648553546751918E-8    -2.421843287273721E-8    -2.385373762594458E-8    -1.6408758176433937E-9   -9.012348146650135E-11
0.47000000000000003       0.01                     0                        2.3652941384900977E-5    3.368595840429483E-4     2.5512847519769096E-4    0.001957331346465817     0.013098143495995642     0.01896650192481942      0.005509429405655708     -3.9669825567264606E-8   -8.121689395177111E-8    -2.2743061989156543E-8   -2.240058373515307E-8    -1.5409147500696162E-9   -8.463321869098223E-11
0.49                      0.01                     0                        2.1548640638081156E-5    3.0639063990813513E-4    2.3339568751736144E-4    0.0019145999555259885    0.012861100925546915     0.01863054339709195      0.005412592529095579     -3.7096394354415125E-8   -7.594825243602306E-8    -2.126769110557588E-8    -2.0947429844361554E-8   -1.4409536824958388E-9   -7.914295591546312E-11
0.51                      0.01                     0                        1.9444339891261324E-5    2.7592169577332176E-4    2.1166289983703176E-4    0.0018718685645861598    0.01262405835509819      0.01829458486936447      0.005315755652535451     -3.452296314156562E-8    -7.067961092027497E-8    -1.97923202219952E-8     -1.9494275953570026E-8   -1.3409926149220603E-9   -7.365269313994394E-11
0.53                      0.01                     0                        1.7340039144441493E-5    2.454527516385085E-4     1.8993011215670219E-4    0.0018291371736463315    0.01238701578464947      0.017958626341637002     0.005218918775975325     -3.194953192871614E-8    -6.541096940452689E-8    -1.8316949338414532E-8   -1.8041122062778504E-8   -1.2410315473482826E-9   -6.816243036442482E-11
0.55                      0.01                     0                        1.5235738397621665E-5    2.1498380750369534E-4    1.6819732447637264E-4    0.001786405782706503     0.012149973214200744     0.01762266781390953      0.005122081899415197     -2.937610071586665E-8    -6.014232788877881E-8    -1.6841578454833863E-8   -1.6587968171986985E-8   -1.1410704797745047E-9   -6.267216758890567E-11
0.5700000000000001        0.01                     0                        1.313143765080183E-5     1.8451486336888196E-4    1.4646453679604299E-4    0.0017436743917666748    0.011912930643752024     0.01728670928618207      0.005025245022855071     -2.6802669503017145E-8   -5.487368637303071E-8    -1.5366207571253184E-8   -1.5134814281195457E-8   -1.0411094122007262E-9   -5.71819048133865E-11
0.59                      0.01                     0                        1.3564695612742393E-5    1.8709779374808695E-4    1.4649044821680383E-4    0.0017060643587449552    0.011640990872114653     0.016892436943109955     0.0049104899274888415    -6.484209968101786E-9    -1.3275263649631741E-8   -3.7174549458301095E-9   -3.6614753473138044E-9   -2.5186939038727506E-10  -1.3833677169517379E-11
0.61                      0.01                     0                        1.2371150382740437E-5    1.7030534210673432E-4    1.341175511299385E-4     0.0016589416273147274    0.011344337512000197     0.016465631875716674     0.004786814808481171     -8.564677738624394E-9    -1.7534650422132325E-8   -4.910205526273377E-9    -4.836264795854665E-9    -3.3268203397218094E-10  -1.8272231695138434E-11
0.63                      0.01                     0                        1.1177605152738485E-5    1.5351289046538173E-4    1.2174465404307314E-4    0.0016118188958844989    0.011047684151885744     0.016038826808323386     0.004663139689473499     -1.0645145509146997E-8   -2.1794037194632893E-8   -6.10295610671664E-9     -6.011054244395521E-9    -4.1349467755708646E-10  -2.2710786220759474E-11
0.65                      0.01                     0                        9.984059922736523E-6     1.3672043882402904E-4    1.0937175695620771E-4    0.0015646961644542703    0.01075103079177129      0.015612021740930107     0.004539464570465827     -1.2725613279669616E-8   -2.6053423967133498E-8   -7.295706687159912E-9    -7.1858436929363875E-9   -4.943073211419927E-10   -2.7149340746380555E-11
0.67                      0.01                     0                        8.790514692734568E-6     1.1992798718267635E-4    9.699885986934234E-5     0.0015175734330240412    0.010454377431656834     0.015185216673536827     0.004415789451458155     -1.480608105019222E-8    -3.0312810739634074E-8   -8.488457267603178E-9    -8.360633141477246E-9    -5.751199647268984E-10   -3.1587895272001604E-11
0.01                      0.03                     0                        2.785323134905603E-4     0.005853793855436856     0.00367123798636527      0.010241670188055956     0.0404075282059949       0.05949390066957008      0.017622198862587195     -3.2665045087485195E-8   -6.68758550072706E-8     -1.8727159363067862E-8   -1.8445154906316767E-8   -1.2688245805782033E-9   -6.968893522741432E-11
0.03                      0.03                     0                        2.8115292734906257E-4    0.005833034810684254     0.003661736604409997     0.01015575455849389      0.040576919074178014     0.05966576182088938      0.017658451097397762     2.3259038362934406E-8    4.761873351168541E-8     1.333461248523615E-8     1.3133812135488426E-8    9.034623866724505E-10    4.962177806843093E-11
0.05                      0.03                     0                        2.773233232801587E-4     0.005714465734293218     0.003604650580826918     0.009992093788390506     0.040843517957960825     0.05995406670971205      0.017721947954098167     -2.713701692653351E-8    -5.5558203102067777E-8   -1.5557891907400652E-8   -1.5323612123132294E-8   -1.054096635340151E-9    -5.789521520002394E-11
0.06999999999999999       0.03                     0                        2.6797789829116847E-4    0.005467221804361523     0.0034843754076809247    0.009655080838565108     0.04138045606934491      0.06047452807748742      0.017826154035198428     3.37058532515272E-8      6.90067241269194E-8      1.93238638923956E-8      1.9032873911819382E-8    1.3092532093667467E-9    7.190943767992368E-11
0.09                      0.03                     0                        2.5465730247169324E-4    0.005147304777319865     0.0033266688160188624    0.00923193540109446      0.042039724501418636     0.06107953560975409      0.01794038403763426      -6.145481165252988E-8    -1.258177682769616E-7    -3.523258726145695E-8    -3.4702034472431355E-8   -2.387119791529326E-9    -1.3111019370081696E-10
0.11                      0.03                     0                        2.4118127648831817E-4    0.004660217624510561     0.0030869229139511476    0.008492494096475728     0.04327582540487805      0.06214486404590481      0.01811955762494275      -9.099464187221346E-8    -1.8629530312866815E-7   -5.216803328947809E-8    -5.138245670509847E-8    -3.53455009779274E-9     -1.9413166846979099E-10
0.13                      0.03                     0                        2.3324939998698062E-4    0.0042521412104243915    0.002867332192573312     0.007992963008491403     0.04411407209317946      0.06302859027491373      0.01829318247307658      1.9252647849043698E-8    3.9416363351415474E-8    1.1037713355803745E-8    1.0871501048943356E-8    7.478401687999442E-10    4.107438166133932E-11
0.15000000000000002       0.03                     0                        2.2236245309298965E-4    0.003908930774679125     0.0026712097683708014    0.00775765407460673      0.04445315933160079      0.06355790498304954      0.018423284323709387     1.2572604064926772E-8    2.574016488445003E-8     7.207985150549969E-9     7.099443118240495E-9     4.883639081694793E-10    2.682290466686945E-11
0.17                      0.03                     0                        2.1147550619899863E-4    0.0035657203389338594    0.0024750873441682893    0.007522345140722059     0.044792246570022114     0.06408721969118535      0.018553386174342188     5.892560280809846E-9     1.2063966417484594E-8    3.3782569452961954E-9    3.327385187537634E-9     2.2888764753901448E-10   1.2571427672399586E-11
0.19                      0.03                     0                        2.0092002464091913E-4    0.003275262969857154     0.002301595830092429     0.007381242792501956     0.04495655657666105      0.0644201820808177       0.01864720514117442      -6.962903073972541E-8    -1.4255302423662318E-7   -3.9918939388158624E-8   -3.9317816783390375E-8   -2.7046350460494817E-9   -1.4854940503441806E-10
0.21000000000000002       0.03                     0                        1.9145279244769063E-4    0.003054210301882588     0.0021593012926764106    0.007289578387251044     0.04488099484188863      0.0643994086685997       0.01864702817077542      -4.693633592348495E-8    -9.60937781467849E-8     -2.69090166691474E-8     -2.650380504679885E-8    -1.8231714232291098E-9   -1.0013588731390073E-10
0.23                      0.03                     0                        1.8119602067940605E-4    0.002852549867452225     0.0020264232238547844    0.007195167607407729     0.04467491183071346      0.0641672929369776       0.01858564317873148      -6.261002353610341E-8    -1.2818285861195512E-7   -3.589488045541553E-8    -3.535435447030872E-8    -2.431992260853292E-9    -1.3357476969979942E-10
0.25                      0.03                     0                        1.7093015268720513E-4    0.002650789513689299     0.001893504698553981     0.0071005882133331494    0.04446874634713874      0.06393494377728284      0.018524166092565998     -7.890757199115064E-8    -1.615491829055432E-7    -4.523840918245601E-8    -4.4557182907907344E-8   -3.0650460352333804E-9   -1.6834462217076914E-10
0.27                      0.03                     0                        1.6066428469500415E-4    0.0024490291599263718    0.0017605861732531767    0.007006008819258563     0.04426258086356401      0.06370259461758807      0.01846268900640051      -9.520512044619792E-8    -1.9491550719913134E-7   -5.458193790949651E-8    -5.3760011345505996E-8   -3.69809980961347E-9     -2.0311447464173894E-10
0.29000000000000004       0.03                     0                        1.5006304393649754E-4    0.0022512739354834457    0.0016303879345848545    0.0069085660227030474    0.04403389663597177      0.06342587647540526      0.018388123463732267     -1.4435006938672735E-7   -2.9553102665989427E-7   -8.275717196272414E-8    -8.151096633862775E-8    -5.607061485925214E-9    -3.079623067600938E-10
0.31                      0.03                     0                        1.4051269196369573E-4    0.002085829938281049     0.0015175647165130445    0.006808820552948064     0.04367687699328039      0.06295591468164356      0.018256796192712917     -1.3969421129781682E-7   -2.85998987452402E-7     -8.008792732616119E-8    -7.888191674014167E-8    -5.426211676256443E-9    -2.9802930982354804E-10
0.33                      0.03                     0                        1.3153734517834027E-4    0.001941620042183592     0.001417120583888978     0.006700709840615256     0.04320431591288265      0.06231259942594581      0.018074316841227737     -1.2789858257324907E-7   -2.6184954102760545E-7   -7.332538901277638E-8    -7.222121266153596E-8    -4.9680282073825565E-9   -2.7286403593669313E-10
0.35000000000000003       0.03                     0                        1.2241768602460387E-4    0.0017964231721667376    0.0013166560914543305    0.0065892161916537165    0.0427206047546723       0.061651443010028        0.017886483738278818     -1.3566025519034954E-7   -2.777401816547627E-7    -7.777522459803598E-8    -7.660404003468372E-8    -5.269518714332781E-9    -2.894231038584069E-10
0.37                      0.03                     0                        1.1329802687086741E-4    0.0016512263021498824    0.0012161915990196823    0.006477722542692173     0.042236893596461926     0.06099028659411015      0.0176986506353299       -1.4342192780745004E-7   -2.9363082228191986E-7   -8.222506018329558E-8    -8.098686740783148E-8    -5.571009221283004E-9    -3.059821717801207E-10
0.39                      0.03                     0                        1.0417836771713099E-4    0.0015060294321330285    0.0011157271065850346    0.00636622889373063      0.04175318243825157      0.060329130178192324     0.017510817532380974     -1.5118360042455048E-7   -3.0952146290907704E-7   -8.667489576855518E-8    -8.536969478097923E-8    -5.872499728233228E-9    -3.225412397018344E-10
0.41000000000000003       0.03                     0                        9.50587085633945E-5      0.0013608325621161728    0.0010152626141503862    0.006254735244769087     0.0412694712800412       0.0596679737622745       0.01732298442943206      -1.5894527304165103E-7   -3.254121035362344E-7    -9.112473135381481E-8    -8.975252215412702E-8    -6.173990235183454E-9    -3.391003076235483E-10
0.43                      0.03                     0                        8.773355998280623E-5     0.0012440997561798668    9.32214018574245E-4      0.006145785339373138     0.04073878373861804      0.058931494759393466     0.017112523213984487     -1.4561001738078821E-7   -2.9811054550463627E-7   -8.347951129551127E-8    -8.222242826565445E-8    -5.6560022720417794E-9   -3.106503310353659E-10
0.45                      0.03                     0                        8.197631706582649E-5     0.0011565087858719202    8.678713191194978E-4     0.006029309252862438     0.04009622223823765      0.05802572492566416      0.016851658267723172     -9.821106754810714E-8    -2.0106964787178042E-7   -5.630527397909751E-8    -5.545739641833888E-8    -3.814861306822652E-9    -2.09527484399446E-10
