% Model:              transient.mph
% Version:            COMSOL 5.3.1.180
% Date:               Jan 10 2018, 15:12
% Dimension:          2
% Nodes:              1330
% Expressions:        14
% Description:        , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.025                     0.48                     0                        0.003240069791831314     0.016887544785796738     0.011457446151678485     0.07950122378562294      0.4598445267175443       0.6593837903864809       0.19118448772643665      -9.484308446007343E-6    -2.2674693867025336E-5   -5.764458787426235E-6    -5.4486965565329724E-6   -4.095271065591274E-7    -2.189036616703586E-8
0.07500000000000001       0.48                     0                        0.004812055613381265     0.02320760584533352      0.015252489918652003     0.08091068426674825      0.4598935146821434       0.6568397696353608       0.19015875991195447      5.62505826541282E-6      1.3448956485872579E-5    3.4190144593831963E-6    3.231773371641463E-6     2.4291024464907106E-7    1.2987488084047867E-8
0.125                     0.48                     0                        0.005902995705378656     0.02696488536426473      0.01739710115719951      0.08174334678804676      0.4587513007973286       0.6547917361162366       0.18960593409986243      1.3348014797453786E-5    3.191187758036282E-5     8.11277736592327E-6      7.66837974840651E-6      5.763602429839399E-7     3.080803829288332E-8
0.17500000000000002       0.48                     0                        0.012066739174331573     0.04776647036123018      0.029182531866980305     0.08681624567808183      0.4491519337627142       0.6436382269912185       0.187345120077802        -1.4783834329515734E-5   -3.533717654154362E-5    -8.983920083361561E-6    -8.49139828028126E-6     -6.381421875619665E-7    -3.4080259639986375E-8
0.225                     0.48                     0                        0.02093686341719266      0.0724451017797946       0.042259360835819625     0.0924690401212084       0.43512053537392475      0.62894095061639         0.18428026407269954      3.067486678191459E-4     7.331970249134722E-4     1.8640432551498548E-4    1.7618453276167518E-4    1.3240433622022709E-5    7.070649362748155E-7
0.275                     0.48                     0                        0.03749887778384264      0.10914555641452052      0.05994954133647882      0.09810373051385354      0.41643099356723123      0.6034778093225488       0.1775025234317352       4.957537749410912E-4     0.0011849850230744084    3.0126350159193294E-4    2.8474776477137526E-4    2.1399312149621058E-5    1.1428631538129424E-6
0.32500000000000007       0.48                     0                        0.07271916617174891      0.1685752656696074       0.08433204414011149      0.09966777697303963      0.3936360829322816       0.5531017548007433       0.16067412285226917      -5.098478307146801E-4    -0.001218502404122225    -3.097928173662409E-4    -2.928001133995943E-4    -2.2002686435347576E-5   -1.174388679874134E-6
0.37500000000000006       0.48                     0                        0.0857574726652482       0.19012821485918807      0.0930572762331513       0.10000609196639752      0.3854678243912252       0.5344586047422961       0.15439487660436851      -0.001057670528353428    -0.002527882489105417    -6.426847724572241E-4    -6.074389224105796E-4    -4.5647704946451696E-5   -2.4369273695122012E-6
0.42500000000000004       0.48                     0                        0.16680011529152952      0.2747199055896675       0.10823106871756563      0.10149328926273006      0.3140180843394912       0.41887414819941726      0.11815970345493101      0.0024413900438989417    0.005836192216980693     0.0014837297335077947    0.0014024229006736103    1.0540097087858937E-4    5.631601382516674E-6
0.47500000000000003       0.48                     3580506.2891049753       0.2565674980024673       0.3684184133121405       0.1250384135052472       0.10314059251618117      0.23487633930289603      0.29084631236283426      0.07802359053593011      0.006317146057514813     0.015100711127431714     0.0038390658698093335    0.0036286587392664825    2.727109678303636E-4     1.4568756994995454E-5
0.525                     0.48                     3580506.2891049725       0.25656749800246714      0.36841841331214026      0.12503841350524714      0.10314059251618111      0.2348763393028959       0.2908463123628341       0.07802359053593005      0.00631714605751481      0.015100711127431705     0.0038390658698093313    0.0036286587392664804    2.7271096783036344E-4    1.4568756994995446E-5
0.5750000000000001        0.48                     2242561.0334175713       0.3423665152177078       0.4269375218145316       0.11791375928526726      0.10364915271371372      0.14846211546558397      0.16993913032944344      0.04230644780181224      0.009954625109781536     0.02379610673112463      0.006049691634476475     0.005718140608146413     4.297480492668032E-4     2.295899765987811E-5
0.6250000000000001        0.48                     2781662.6190219247       0.22107710430754643      0.3260242307207077       0.10592357520990749      0.10044322540653257      0.18273494243967667      0.2219868718877496       0.05908768733424862      0.005626649558613744     0.01345025773876635      0.003419463567804695     0.0032320607440306007    2.429061043941481E-4     1.2977060799148413E-5
0.675                     0.48                     2900646.2950563445       0.1962017556330151       0.3054410707493003       0.10360184886094763      0.09980120235928773      0.1903111385754055       0.23340144912147248      0.06273923503709931      0.004733952834453326     0.011316301314853016     0.00287694729495893      0.002719276704670177     2.0436767984248624E-4    1.0918159464691619E-5
0.7250000000000001        0.48                     2900646.2950563463       0.19620175563301526      0.30544107074930055      0.1036018488609477       0.09980120235928781      0.19031113857540563      0.23340144912147265      0.06273923503709936      0.00473395283445333      0.011316301314853025     0.002876947294958932     0.002719276704670179     2.0436767984248637E-4    1.0918159464691626E-5
0.775                     0.48                     0                        0.1962017556330152       0.3054410707493005       0.10360184886094767      0.09980120235928777      0.19031113857540558      0.23340144912147257      0.06273923503709934      0.004733952834453329     0.011316301314853021     0.0028769472949589313    0.0027192767046701786    2.0436767984248635E-4    1.0918159464691624E-5
