% Model:              scaling.mph
% Version:            COMSOL 5.3.1.180
% Date:               Mar 20 2018, 16:21
% Dimension:          2
% Nodes:              1330
% Expressions:        19
% Description:        , , , , , , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Tp221 (K)                Tp231 (K)                Tp241 (K)                Tp31 (K)                 Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.025                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      7.454937741219125E-4     0.007116944242708364     0.030360580258824023     0.01873244309919224      0.06035568027541057      0.29039032418265165      0.40844322900595054      0.11777136955121079      -1.0305624852831675E-5   -1.901901435135385E-5    -5.389859815550317E-6    -5.301528025998444E-6    -3.6275339402399223E-7   -2.1253229169619782E-8
0.07500000000000001       0.48                     0                        NaN                      NaN                      NaN                      NaN                      9.862665081327398E-4     0.008980887128548427     0.03609974464489561      0.021797523847049326     0.06093356046246527      0.28723132705367815      0.40288296577618143      0.1161088746150035       6.055451991509738E-6     1.1182384185246628E-5    3.1690431651387485E-6    3.117076587375088E-6     2.1327463947193642E-7    1.2506100686834375E-8
0.125                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0011394493962405738    0.01006052028987706      0.039072869660253966     0.02330298369743363      0.061064733798959825     0.2851954413750376       0.40019571298201084      0.11544599549718879      1.4403285268173688E-5    2.6581266192644026E-5    7.53298830094853E-6      7.409486177151806E-6     5.0697417868411E-7       2.9705921546052402E-8
0.17500000000000002       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0019801590106153493    0.015912618001758853     0.05490432543178254      0.031222183896884144     0.061272506017428355     0.2728881577146369       0.38679838680281226      0.11271646483159418      -1.570100877909501E-5    -2.8911639466301364E-5   -8.193368160989297E-6    -8.059053433677822E-6    -5.514474798355063E-7    -3.2272866704171964E-8
0.225                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0030978547902014903    0.023572980141417472     0.07183326540775448      0.039013387739066284     0.06128191248620349      0.259719050692158        0.3728748767161737       0.10980666467750493      3.3161252906985044E-4    6.105458724586432E-4     1.730249155714531E-4     1.7018792543524702E-4    1.1645229853078885E-5    6.814961641443037E-7
0.275                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.005283588309893289     0.03610770831225661      0.09488880632986879      0.048673998221234874     0.06165616424976171      0.2434101790775134       0.35153064284308677      0.10423621329163515      5.360478062695245E-4     9.871511665048393E-4     2.7975252165549053E-4    2.751657201154833E-4     1.882835326231693E-5     1.1019854984859232E-6
0.32500000000000007       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.010193209297508271     0.05919028799106111      0.1274538368701329       0.05995101810209967      0.06332035499074452      0.2251936369940502       0.314264181885404        0.09171080090969697      -5.498535351264723E-4    -0.0010110688154602331   -2.865305705335656E-4    -2.8183178655774636E-4   -1.9284887247251858E-5   -1.1278193485659911E-6
0.37500000000000006       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.012020401056050666     0.06766147751605169      0.13916335279674075      0.06393899488541255      0.06393633135444558      0.21873327816640173      0.30064850872008436      0.08708442249998959      -0.0011421672589861961   -0.0021012753795134464   -5.9548832854463E-4      -5.85723580420953E-4     -4.007898809493927E-5    -2.3445264112780055E-6
0.42500000000000004       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.02358222270119417      0.10642739641481296      0.17616630947642412      0.06842654169839321      0.06570732050024744      0.1842416084447012       0.2408766461059355       0.06741949599613523      0.002650793445402485     0.0048869158885577425    0.0013849220276450933    0.0013622179057444983    9.320908272214322E-5     5.4585745791079145E-6
0.47500000000000003       0.48                     2053459.5246292357       883.2380667888214        883.1483318791047        880.4576972767733        880.282042066319         0.036388745721935706     0.1493667054644142       0.21715286255587912      0.07339720059030164      0.06766896754526316      0.14603669784565942      0.17466997400403256      0.04563751892519622      0.006852089752193841     0.012627429026942867     0.0035785357673719944    0.003519867301427227     2.408464360475336E-4     1.4101727495112631E-5
0.525                     0.48                     2053459.5246292348       880.9955866892868        880.9058517940142        878.2152176247788        878.039562442599         0.036388745721935685     0.14936670546441408      0.217152862555879        0.0733972005903016       0.06766896754526312      0.14603669784565934      0.17466997400403245      0.04563751892519619      0.006852089752193836     0.01262742902694286      0.0035785357673719926    0.0035198673014272246    2.4084643604753347E-4    1.4101727495112623E-5
0.5750000000000001        0.48                     1283532.9858073096       877.7798199539304        877.7237303427895        876.0419250226129        875.9321301559287        0.04973523651125153      0.19693234901457812      0.24864111150234675      0.06865263424395698      0.06635785019679401      0.09664573216950934      0.1008272836649576       0.023313269619785436     0.010730048547491036     0.019776135336259333     0.005604435326793725     0.005512554344259285     3.771951988804937E-4     2.208634196303748E-5
0.6250000000000001        0.48                     1561589.987079022        879.2070547395366        879.1388142235435        877.0926730484848        876.9590929040786        0.03037756623378502      0.12723739710702622      0.18772247695810768      0.05997304045012461      0.05968557328974085      0.10997930773898304      0.13088321464044705      0.034253290333561004     0.005982605255050288     0.01102623584816353      0.0031247675190282263    0.0030735390130058895    2.1030618282476818E-4    1.2314255044255374E-5
