% Model:              ss.mph
% Version:            COMSOL 5.3.0.260
% Date:               Dec 13 2017, 15:34
% Dimension:          2
% Nodes:              1330
% Expressions:        14
% Description:        , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.025                     0.48                     0                        0.0029042648462307037    0.014225526979989238     0.009480251489242579     0.06077789136789932      0.3500406563019764       0.5013788134390201       0.14531285327673218      8.23453287351945E-8      1.9683836732197828E-7    5.00425324294806E-8      4.729966836913388E-8     3.554771527606158E-9     1.8987612994017638E-10
0.07500000000000001       0.48                     0                        0.0036885912096281085    0.017215600999330477     0.01125008850344898      0.06149329781845663      0.3498192736516575       0.500325436345527        0.14493926346964522      1.4340907669692814E-7    3.4281533377150403E-7    8.715401213769545E-8     8.237761519179337E-8     6.1911363416213365E-9    3.3075556816283694E-10
0.125                     0.48                     0                        0.004863471402472795     0.021384627992558348     0.013656654602613637     0.06247260816336211      0.34863772222657613      0.4982630757897842       0.14441032568607962      -3.9763639091295656E-7   -9.505420395571113E-7    -2.4165606288236086E-7   -2.2841282437901542E-7   -1.7166531408628933E-8   -9.171649505979135E-10
0.17500000000000002       0.48                     0                        0.008530512948815376     0.03429117606405382      0.021067039940345464     0.06585339009359151      0.34191738459724785      0.49148689813383284      0.14326871802062774      5.2171593730090824E-6    1.2471396100982858E-5    3.1706069413604323E-6    2.996842998292672E-6     2.252283270231311E-7     1.2032638533596397E-8
0.225                     0.48                     0                        0.01578050412364992      0.053348736321615305     0.031054822389729154     0.0701508791320761       0.3307900230935587       0.4801225082697973       0.14103289241333233      -6.630594828304262E-6    -1.5848424554791034E-5   -4.029231319623874E-6    -3.808316128329075E-6    -2.8619691438973387E-7   -1.5282852126919067E-8
0.275                     0.48                     0                        0.026703558847495732     0.07753156117283848      0.04268881089116812      0.07379292004198401      0.3203504998545504       0.4634222502161073       0.13625288847688974      -1.640881846404513E-5    -3.9219632950086364E-5   -9.9710525429891E-6      -9.424321749669933E-6    -7.082356387020275E-7    -3.7816807748994557E-8
0.32500000000000007       0.48                     0                        0.04935238205386818      0.11621673202721627      0.05864245217585104      0.07618714952524339      0.30516291435605203      0.4321328668372886       0.12584234743569483      1.8735197109487909E-4    4.477947694380199E-4     1.1384592888950231E-4    1.0760324399996688E-4    8.086300975606939E-6     4.3175160330398226E-7
0.37500000000000006       0.48                     0                        0.08286652361519076      0.1643001865804933       0.07508417381910822      0.07589525643692453      0.2809553954722036       0.38356593150386353      0.1098895272125078       -0.0010161291331698707   -0.002429110835335998    -6.175490143910901E-4    -5.837098170585688E-4    -4.386984201528957E-5    -2.344114341919365E-6
0.42500000000000004       0.48                     0                        0.1547608582467369       0.24024538573349782      0.08928337204379068      0.07786236209191354      0.21726833918179966      0.280987440086376        0.07768471473251781      0.002615833393023431     0.006253046259628067     0.0015897135170208827    0.0015025903225619089    1.1292757217389705E-4    6.033111923025725E-6
0.47500000000000003       0.48                     0                        0.20067883879389325      0.2816594171092155       0.09315364549181346      0.08002016792208193      0.1748094705264215       0.21718324255603635      0.057970936680736745     0.006669619513217022     0.015943439110535442     0.004053305579573857     0.0038311656231402873    2.879320299899218E-4     1.5382565551623717E-5
0.525                     0.48                     0                        0.24193374842003207      0.3130958565168569       0.09147293641237908      0.08010685458349266      0.13481312464865092      0.16033669964636343      0.041272684280776996     0.007345197570293206     0.017558372011062418     0.004463870832352813     0.0042192295871259925    3.170969785937284E-4     1.6940651971583062E-5
0.5750000000000001        0.48                     0                        0.25890680063728966      0.32647862643485354      0.09076126340721272      0.07972369380732598      0.11705258783482111      0.13509273058665613      0.03394646873372224      0.00701856028799151      0.01677755865820782      0.0042653644505862235    0.004031602224183492     3.0299579605132666E-4    1.6187302359581348E-5
0.6250000000000001        0.48                     0                        0.2589068006372898       0.3264786264348537       0.09076126340721276      0.07972369380732602      0.1170525878348212       0.13509273058665622      0.033946468733722264     0.007018560287991513     0.016777558658207826     0.004265364450586226     0.004031602224183493     3.029957960513268E-4     1.6187302359581355E-5
0.675                     0.48                     0                        0.26088053363187214      0.3273467350736513       0.09037599736069041      0.07930309113472399      0.11398355694508655      0.13074272312331423      0.03259176005061945      0.007523905988048133     0.01798556428615242      0.00457247617898502      0.004321882718403786     3.2481186944986214E-4    1.735280426505983E-5
0.7250000000000001        0.48                     0                        0.21212858324943237      0.2875114587769342       0.08599570436552981      0.077366866865387        0.12779782008113527      0.15172569321503201      0.03936143877885226      0.005867846267253132     0.01402682614070129      0.0035660448533373955    0.0033706085834329376    2.5331868437897015E-4    1.3533337502256181E-5
0.775                     0.48                     0                        0.1520678426365834       0.23919050158295588      0.0811723971914049       0.0753081766805215       0.14735611238716026      0.18114916588633492      0.048801721030714715     0.0033984492200451314    0.008123841886804182     0.0020653271350702866    0.001952137345635898     1.467132250722477E-4     7.838029828456975E-6
0.8250000000000001        0.48                     0                        0.1520678426365834       0.23919050158295585      0.0811723971914049       0.0753081766805215       0.14735611238716023      0.18114916588633492      0.048801721030714715     0.0033984492200451314    0.00812384188680418      0.002065327135070286     0.001952137345635898     1.467132250722477E-4     7.838029828456975E-6
0.8750000000000001        0.48                     0                        4.4219130754791225E-4    0.029749849315894514     0.020641702818715087     0.03448723008559368      0.21333142234624033      0.300991031775856        0.08673110066011969      -5.576823073682745E-4    -0.0013331148867621481   -3.389182590392975E-4    -3.203439251612516E-4    -2.4075506898078358E-5   -1.2862140173029883E-6
0.925                     0.48                     0                        -0.0014906206931682533   0.027080054313588873     0.019870102159659498     0.03396687475806368      0.21417242695015895      0.30251868751582595      0.08721459642409399      -6.08112154993483E-4     -0.0014536651985463844   -3.6956580653320717E-4   -3.49311840768539E-4     -2.6252595720753918E-5   -1.4025231500121744E-6
0.9750000000000001        0.48                     0                        -0.0014906206931682526   0.027080054313588862     0.01987010215965949      0.03396687475806367      0.21417242695015887      0.30251868751582583      0.08721459642409396      -6.081121549934826E-4    -0.0014536651985463838   -3.69565806533207E-4     -3.493118407685388E-4    -2.6252595720753904E-5   -1.4025231500121738E-6
1.025                     0.48                     0                        -0.0014906206931682522   0.027080054313588852     0.019870102159659484     0.03396687475806366      0.2141724269501588       0.3025186875158257       0.08721459642409393      -6.081121549934825E-4    -0.0014536651985463834   -3.695658065332069E-4    -3.4931184076853876E-4   -2.6252595720753897E-5   -1.4025231500121736E-6
1.075                     0.48                     0                        -0.0014906206931682513   0.027080054313588838     0.019870102159659474     0.03396687475806364      0.2141724269501587       0.30251868751582556      0.08721459642409388      -6.081121549934822E-4    -0.0014536651985463827   -3.6956580653320673E-4   -3.4931184076853855E-4   -2.6252595720753884E-5   -1.4025231500121727E-6
1.125                     0.48                     0                        -0.00128490032245458     0.02377609781492159      0.017456447630522353     0.031046751179555927     0.20010874292674338      0.283443301199058        0.08177974710371005      -5.406731269692981E-4    -0.0012924551868818068   -3.2858132928701296E-4   -3.1057350807277604E-4   -2.3341209142130435E-5   -1.2469847392214249E-6
1.175                     0.48                     0                        -2.1567533397170405E-4   0.006603890527038051     0.0049115561005034945    0.015869503108463495     0.12701319902996333      0.18429959635302706      0.05353229313581098      -1.90160954974352E-4     -4.545713532711306E-4    -1.1556583131024397E-4   -1.092322739170092E-4    -8.209371346006037E-6    -4.3857886813804157E-7
1.225                     0.48                     0                        3.515375471217945E-4     -0.002505789171259787    -0.001743380086354416    0.007818128796972698     0.08823676329811841      0.13170487861472088      0.038547308758087005     -4.217845640841158E-6    -1.0082580184820976E-5   -2.563296178317934E-6    -2.422815909058611E-6    -1.8208671926195168E-7   -9.727851589386631E-9
1.275                     0.48                     0                        3.515375471217946E-4     -0.002505789171259788    -0.0017433800863544163   0.0078181287969727       0.08823676329811844      0.1317048786147209       0.03854730875808702      -4.21784564084116E-6     -1.0082580184820979E-5   -2.5632961783179347E-6   -2.422815909058612E-6    -1.8208671926195174E-7   -9.727851589386634E-9
1.325                     0.48                     0                        3.515375471217947E-4     -0.002505789171259789    -0.0017433800863544172   0.007818128796972704     0.08823676329811848      0.13170487861472097      0.03854730875808703      -4.217845640841161E-6    -1.0082580184820984E-5   -2.563296178317936E-6    -2.422815909058613E-6    -1.8208671926195182E-7   -9.72785158938664E-9
1.375                     0.48                     0                        2.0530352067686094E-4    -0.0013836086513220071   -9.679958797454368E-4    0.006937469453978298     0.0737940553030147       0.10971487025386323      0.032077951984201006     -1.882531897051675E-5    -4.500109721860877E-5    -1.1440643221673418E-5   -1.0813641944971758E-5   -8.127008961097718E-7    -4.34178796428153E-8
1.425                     0.48                     0                        -7.027489658642904E-5    7.311435652874506E-4     4.932177490040806E-4     0.005277864546758462     0.04657673313083662      0.06827464018556484      0.019886431694424972     -4.6353141860106474E-5   -1.1080513675229451E-4   -2.8170027669184848E-5   -2.6626176241695688E-5   -2.0010950132953166E-6   -1.0690682837948845E-7
1.475                     0.48                     0                        -1.3598849528497262E-4   0.0012354210043162052    8.416543463474369E-4     0.004882120163166249     0.04008657252742954      0.058392927837671756     0.016979278515291678     -5.2917343528638426E-5   -1.264965696649392E-4    -3.2159266256788374E-5   -3.039678550602392E-5    -2.2844758922769583E-6   -1.220462117191064E-7
1.525                     0.48                     0                        -8.495273533914416E-5    5.99868894787313E-4      4.641317935457018E-4     0.003266680210835257     0.029398072317431606     0.043065741440974685     0.012551207252444914     -5.468308930194434E-6    -1.3071751052714423E-5   -3.3232357999869786E-6   -3.1411066695090946E-6   -2.3607045558960156E-7   -1.261186456371831E-8
1.575                     0.48                     0                        -4.093023012794917E-5    1.4639561798352832E-4    1.6654572609912005E-4    0.0017032504697255158    0.016861821537633215     0.024445326677384298     0.006940559120391468     1.1783180784980042E-5    2.816717207854782E-5     7.160949782696623E-6     6.7684956770673696E-6    5.086874981882921E-7     2.717620534131497E-8
1.625                     0.48                     0                        -2.0688885505797705E-5   4.8019303545560244E-5    6.0737292922896976E-5    7.61010276719837E-4      0.006931355318340105     0.009098058675275017     0.0021061086939637664    -8.665512751414848E-6    -2.0714525518384575E-5   -5.266260856696177E-6    -4.977644720758144E-6    -3.740957735911866E-7    -1.9985752134715645E-8
1.675                     0.48                     0                        -1.4992815659312829E-5   1.9949697116330737E-5    2.5988987940989863E-5    2.3004703099613262E-4    0.002089965475146654     0.002317434336027138     4.077364447879672E-4     1.0987155734690538E-6    2.626429658751097E-6     6.67718140003165E-7      6.311239756309945E-7     4.743223933151298E-8     2.534064636324045E-9
1.725                     0.48                     0                        -7.02045650364787E-6     9.035514174972785E-6     1.3047063416194022E-5    8.315697742167071E-5     7.689963166786824E-4     8.056354990732444E-4     1.3926409131525096E-4    -5.609163519550043E-7    -1.3408463503736414E-6   -3.4088368725411703E-7   -3.2220178062194793E-7   -2.4215159676902833E-8   -1.2936728432453966E-9
0.025                     0.62                     0                        0.008302959559210489     0.041671494657987584     0.02803115223719623      0.19200563024011993      1.1108527832201722       1.5919624672382473       0.46147356230084724      4.9779937382398605E-8    1.1901018551264406E-7    3.0255338353142935E-8    2.859802696986816E-8     2.1494291437724147E-9    1.1486488380743329E-10
0.07500000000000001       0.62                     0                        0.010740318633908784     0.0511282299375075       0.033655985107172576     0.1942635742848845       1.109742269555694        1.5882481152535197       0.4602017564789394       2.4865301442140315E-7    5.943971091178007E-7     1.5111362985150453E-7    1.4283211121524425E-7    1.0734573557047751E-8    5.734716872205949E-10
