% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 3 2018, 11:01"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
0,1.0000001507143822E7,720.2646006426945,700.5823328470453,764.5689671976435,761.0691711966268
0.1,1.0000331301522398E7,720.2646073040816,700.5823757059085,764.5689693495507,761.0691668382198
0.2,1.0000473735959724E7,720.2646186933906,700.5824174399058,764.5689723361844,761.069157627861
0.30000000000000004,1.000055839950339E7,720.2646324412447,700.5824583172705,764.5689750850032,761.0691452057418
0.4,1.0000585292153435E7,720.2646485476428,700.5824983380014,764.5689775960069,761.0691295718622
0.5,1.0000611276111241E7,720.2646683607757,700.5825355974503,764.5689759327269,761.0691048651196
0.6000000000000001,1.0000637260069074E7,720.2646881739088,700.5825728568983,764.5689742694464,761.069080158377
0.7000000000000001,1.000066324402688E7,720.2647079870413,700.582610116348,764.5689726061661,761.0690554516344
0.8,1.0000689227984676E7,720.264727800174,700.5826473757983,764.5689709428858,761.0690307448918
0.9,1.0000702769798456E7,720.2647527468376,700.5826812142991,764.5689635570903,761.0689989850911
1,1.0000716311612252E7,720.2647776935016,700.5827150528025,764.5689561712951,761.0689672252901
1.1,1.0000729853426047E7,720.2648026401678,700.5827488913044,764.5689487854999,761.0689354654891
1.2000000000000002,1.0000743395239836E7,720.26482758683,700.5827827298062,764.5689413997044,761.0689037056883
1.3,1.0000756937053602E7,720.2648525334953,700.582816568309,764.5689340139091,761.0688719458873
1.4000000000000001,1.0000770478867382E7,720.2648774801584,700.5828504068105,764.5689266281139,761.0688401860863
1.5,1.0000784020681186E7,720.2649024268229,700.5828842453124,764.5689192423187,761.0688084262855
1.6,1.0000797562494952E7,720.2649273734866,700.5829180838147,764.5689118565232,761.0687766664845
1.7000000000000002,1.0000807118168004E7,720.2649581654013,700.5829488605932,764.5688996027169,761.0687461529895
1.8,1.000081667384104E7,720.2649889573158,700.5829796373714,764.5688873489104,761.0687156394946
1.9000000000000001,1.000082622951407E7,720.2650197492309,700.5830104141493,764.5688750951041,761.0686851259999
2,1.0000835785187121E7,720.2650505411456,700.5830411909284,764.5688628412976,761.0686546125049
2.1,1.0000845340860164E7,720.2650813330596,700.5830719677067,764.5688505874913,761.06862409901
2.2,1.0000854896533197E7,720.2651121249754,700.5831027444844,764.568838333685,761.0685935855153
2.3000000000000003,1.0000864452206254E7,720.2651429168897,700.583133521263,764.5688260798785,761.0685630720203
2.4000000000000004,1.0000874007879285E7,720.2651737088044,700.5831642980414,764.5688138260722,761.0685325585254
2.5,1.0000883563552352E7,720.2652045007186,700.5831950748202,764.5688015722659,761.0685020450306
2.6,1.0000893119225368E7,720.2652352926328,700.5832258515983,764.5687893184594,761.0684715315357
2.7,1.0000902674898406E7,720.2652660845479,700.5832566283773,764.5687770646531,761.0684410180407
2.8000000000000003,1.0000912230571454E7,720.2652968764625,700.5832874051555,764.5687648108466,761.068410504546
2.9000000000000004,1.0000921786244493E7,720.2653276683768,700.5833181819338,764.5687525570403,761.0683799910511
3,1.0000931341917526E7,720.2653584602918,700.5833489587122,764.5687403032338,761.0683494775561
3.1,1.0000940897590574E7,720.2653892522059,700.5833797354904,764.5687280494275,761.0683189640614
3.2,1.0000950453263605E7,720.2654200441207,700.5834105122689,764.5687157956212,761.0682884505665
3.3000000000000003,1.0000957151244035E7,720.2654560166243,700.583439432115,764.568705799342,761.0682687482994
3.4000000000000004,1.000096384922444E7,720.2654919891264,700.5834683519608,764.5686958030627,761.0682490460323
3.5,1.0000970547204848E7,720.2655279616297,700.5834972718081,764.5686858067835,761.068229343765
3.6,1.0000977245185265E7,720.2655639341318,700.5835261916537,764.5686758105043,761.0682096414981
3.7,1.000098394316568E7,720.2655999066349,700.5835551115011,764.568665814225,761.0681899392308
3.8000000000000003,1.0000990641146088E7,720.265635879138,700.583584031347,764.5686558179458,761.068170236964
3.9000000000000004,1.0000997339126494E7,720.2656718516404,700.5836129511922,764.5686458216666,761.0681505346967
4,1.0001004037106931E7,720.2657078241432,700.5836418710397,764.5686358253873,761.0681308324296
4.1000000000000005,1.000101073508735E7,720.2657437966468,700.5836707908863,764.5686258291081,761.0681111301627
4.2,1.0001017433067754E7,720.2657797691489,700.5836997107318,764.5686158328289,761.0680914278954
