% Model:              ss.mph
% Version:            COMSOL 5.3.1.180
% Date:               Mar 30 2018, 09:35
% Dimension:          2
% Nodes:              1330
% Expressions:        19
% Description:        , , , , , , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Tp221 (K)                Tp231 (K)                Tp241 (K)                Tp31 (K)                 Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.025                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      7.462631296960712E-4     0.007124305382351455     0.030392083933011328     0.018751898562564172     0.060418036458382694     0.2906900275505838       0.4088647177541046       0.11789289588360462      -1.0317155484679222E-5   -1.9040378503302015E-5   -5.395929585630917E-6    -5.307478542392385E-6    -3.6315579592786067E-7   -2.127960599241702E-8
0.07500000000000001       0.48                     0                        NaN                      NaN                      NaN                      NaN                      9.872548688703133E-4     0.008989897005377133     0.03613605191384682      0.0218194699232232       0.06099546514264065      0.28752361674499305      0.40329304467558724      0.11622706864617327      6.060091674307999E-6     1.1190996415829617E-5    3.1714578635125424E-6    3.119479263454866E-6     2.1344455902277931E-7    1.2510413493646543E-8
0.125                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0011405760293144056    0.010070464126872871     0.03911152423440008      0.023326058469147447     0.061126185080929624     0.2854833702577174       0.40059990876206486      0.11556261143768143      1.4417464329443961E-5    2.6607550718486355E-5    7.540416012507421E-6     7.4168185312460794E-6    5.074860043235048E-7     2.973644469911966E-8
0.17500000000000002       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0019821266605046864    0.01592840961785851      0.0549586864254991       0.031253086602080246     0.06133383132410189      0.2731621318636198       0.3871868496533428       0.11282967367839768      -1.5716674222583918E-5   -2.8940374577270027E-5   -8.201524457000321E-6    -8.067048006814608E-6    -5.519924796687682E-7    -3.230578972407194E-8
0.225                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.0031009555502251244    0.023596519423857355     0.07190465485906275      0.0390521022344464       0.06134310265195607      0.2599790032085535       0.37324816125547927      0.10991659382018495      3.319260530125038E-4     6.111230796268099E-4     1.7318849073588979E-4    1.7034883070848916E-4    1.1656243398197986E-5    6.821421635596935E-7
0.275                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.005288875976157294     0.03614378294115468      0.09498315793912415      0.048722307781037075     0.061717526115000976     0.2436528436865562       0.3518811790468885       0.10434016138282112      5.365579497851726E-4     9.880904285981477E-4     2.800187125198178E-4     2.7542754063303825E-4    1.8846275619650318E-5    1.1030405360688184E-6
0.32500000000000007       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.010203395636927392     0.05924930667985144      0.12758017813961506      0.06001028994495548      0.0633829938384677       0.22541667490734943      0.3145755335703968       0.09180167147589259      -5.503914398224488E-4    -0.0010120581213063059   -2.8681092315217E-4      -2.821075506809505E-4    -1.9303754657973436E-5   -1.1289161523091501E-6
0.37500000000000006       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.01203240296130951      0.06772886493059409      0.13930106457876343      0.06400207610247635      0.06399938982800114      0.218949175723512        0.3009453238941601       0.08717040186209558      -0.001143275524200708    -0.002103314490219562    -5.960661930931089E-4    -5.862919768797206E-4    -4.0117882815527816E-5   -2.346796843814744E-6
0.42500000000000004       0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.023605819510250266     0.10653362418427104      0.17634087299304751      0.06849409459962238      0.06577209103163756      0.1844233383455238       0.24111417423201315      0.06748596719379676      0.0026534296216911704    0.004891775750277947     0.001386299287010582     0.0013635725774796997    9.330177325112527E-5     5.46400563954073E-6
0.47500000000000003       0.48                     2054743.5370459838       883.2432936911589        883.1535026708956        880.4611856355135        880.285420589212         0.036425185697662274     0.1495159549924349       0.21736824512351402      0.07346970658006328      0.06773563444806809      0.14618058173136067      0.17484183246590645      0.045682381784248306     0.0068588734821970095    0.012639930578001378     0.003582078631793599     0.0035233520715026723    2.4108487778938995E-4    1.4115689161710791E-5
