% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Flux21 (1/(m^2*s))       Flux22 (1/(m^2*s))       Flux23 (1/(m^2*s))       Flux24 (1/(m^2*s))       Flux25 (1/(m^2*s))       Flux26 (1/(m^2*s))       Flux27 (1/(m^2*s))       Flux28 (1/(m^2*s))       Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.21000000000000002       0.01                     0                        1.2089455430174995E-4    0.001249029906580072     8.708477754430422E-4     0.0030137829734903547    0.018681208773712023     0.026802907039434828     0.007761385433289609     3.630066009360389E-6     7.112815108377879E-7     1.3488993347861845E-5    7.968116600845257E-6     7.0236773760251716E-6    -9.550827659280368E-6    -1.1154279237969661E-5   -2.44634732931828E-6     -8.576034196093796E-8    -1.75579007437249E-7     -4.916716283820468E-8    -4.8426775106281815E-8   -3.331231584937261E-9    -1.8296460023214475E-10
0.23                      0.01                     0                        1.150401946160051E-4     0.0011672883467269638    8.173839340722894E-4     0.0029748835819616002    0.01859677455712495      0.02670718001034466      0.007735960550278679     3.1640392412273187E-6    6.82552415195017E-7      1.2580385643385732E-5    7.532543206721622E-6     6.482204689114979E-6     -8.931225397808436E-6    -1.0106000142608159E-5   -2.2142055318531233E-6   -9.255869553966034E-8    -1.894974241117444E-7    -5.306471909548945E-8    -5.2265639694761755E-8   -3.595303411718531E-9    -1.9746848415245683E-10
0.25                      0.01                     0                        1.091858349302603E-4     0.001085546786873856     7.639200927015366E-4     0.0029359841904328466    0.018512340340537885     0.0266114529812545       0.00771053566726775      2.6980124730942494E-6    6.538233195522464E-7     1.1671777938909621E-5    7.096969812597988E-6     5.940732002204789E-6     -8.311623136336505E-6    -9.057721047246656E-6    -1.9820637343879656E-6   -9.935704911838274E-8    -2.0341584078623983E-7   -5.6962275352774236E-8   -5.6104504283241715E-8   -3.859375238499801E-9    -2.1197236807276896E-10
0.27                      0.01                     0                        1.0333147524451544E-4    0.0010038052270207477    7.104562513307839E-4     0.0028970847989040916    0.018427906123950823     0.026515725952164327     0.00768511078425682      2.2319857049611764E-6    6.250942239094754E-7     1.0763170234433505E-5    6.661396418474349E-6     5.3992593152945955E-6    -7.69202087486457E-6     -8.00944195188515E-6     -1.7499219369228084E-6   -1.0615540269710517E-7   -2.173342574607353E-7    -6.085983161005903E-8    -5.994336887172168E-8    -4.1234470652810726E-9   -2.264762519930811E-10
0.29000000000000004       0.01                     0                        9.754875915683139E-5     9.225145656990183E-4     6.572411951785041E-4     0.0028581661546146385    0.018344232487319923     0.026420181411804772     0.00765967237587588      1.7696234804663285E-6    5.556214063464531E-7     9.906998655265179E-6     6.241599268125538E-6     4.989281303546759E-6     -7.259989652397403E-6    -7.0488601632511995E-6   -1.51566712051594E-6     -1.1317691561567484E-7   -2.317095530899413E-7    -6.488532709135172E-8    -6.390824610096946E-8    -4.396187181208292E-9    -2.414562331218421E-10
0.31                      0.01                     0                        9.231765279552608E-5     8.645403192077288E-4     6.168901023208789E-4     0.0028180790364162934    0.018188812456985233     0.026206736394058166     0.007599116614334166     1.648074423192521E-6     2.3621751219209305E-7    9.792355421442501E-6     5.979277901277243E-6     5.733682142020255E-6     -8.083995796760734E-6    -7.1834153840097125E-6   -1.3639702578503173E-6   -1.0141148456333688E-7   -2.0762193101420603E-7   -5.814010137063978E-8    -5.7264593911947755E-8   -3.9391766955248104E-9   -2.163553841766458E-10
0.33                      0.01                     0                        8.665922348588928E-5     8.033383223810921E-4     5.753453099484242E-4     0.002771479201948253     0.017989071089197665     0.02593306736308774      0.007521270108133471     1.4881782696818946E-6    1.217242681513364E-7     9.204130444537511E-6     5.635340853898122E-6     5.748591703631692E-6     -8.031826776229119E-6    -6.633666179510143E-6    -1.185241109994166E-6    -1.0465152442464234E-7   -2.1425533486845195E-7   -5.999764489041305E-8    -5.9094165461117824E-8   -4.0650311741293E-9      -2.2326781694457926E-10
0.35000000000000003       0.01                     0                        8.100079417625252E-5     7.421363255544554E-4     5.3380051757597E-4       0.0027248793674802155    0.017789329721410105     0.025659398332117323     0.007443423601932777     1.3282821161712686E-6    7.231024110580153E-9     8.615905467632525E-6     5.291403806519004E-6     5.76350126524313E-6      -7.979657755697503E-6    -6.0839169750105775E-6   -1.0065119621380155E-6   -1.078915642859478E-7    -2.208887387226979E-7    -6.18551884101863E-8     -6.092373701028789E-8    -4.190885652733787E-9    -2.3018024971251273E-10
0.37                      0.01                     0                        7.534236486661576E-5     6.809343287278185E-4     4.922557252035153E-4     0.0026782795330121756    0.01758958835362254      0.025385729301146902     0.007365577095732081     1.1683859626606427E-6    -1.0726221993017651E-7   8.027680490727536E-6     4.947466759139882E-6     5.778410826854566E-6     -7.927488735165886E-6    -5.534167770511009E-6    -8.277828142818645E-7    -1.1113160414725325E-7   -2.2752214257694376E-7   -6.371273192995955E-8    -6.275330855945794E-8    -4.316740131338275E-9    -2.3709268248044613E-10
0.39                      0.01                     0                        6.9683935556979E-5       6.197323319011821E-4     4.507109328310611E-4     0.0026316796985441366    0.017389846985834977     0.025112060270176494     0.00728773058953139      1.0084898091500173E-6    -2.2175546397093275E-7   7.439455513822552E-6     4.603529711760766E-6     5.7933203884660036E-6    -7.875319714634272E-6    -4.984418566011444E-6    -6.490536664257142E-7    -1.143716440085587E-7    -2.341555464311897E-7    -6.557027544973282E-8    -6.458288010862801E-8    -4.442594609942764E-9    -2.440051152483796E-10
